NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Chasson Randle,2/5/1993,1626184,https://www.nba.com/stats/player/1626184/career/,Chasson Randle,randlch01,2/5/1993,https://www.basketball-reference.com/players/r/randlch01.html,25,G,6'2,185 lbs,Stanford,USA
Chauncey Billups,9/25/1976,1497,https://www.nba.com/stats/player/1497/career/,Chauncey Billups,billuch01,9/25/1976,https://www.basketball-reference.com/players/b/billuch01.html,1,G,6'3,210 lbs,Colorado,USA
Cheick Diallo,9/13/1996,1627767,https://www.nba.com/stats/player/1627767/career/,Cheick Diallo,diallch01,9/13/1996,https://www.basketball-reference.com/players/d/diallch01.html,14,F-C,6'8,219 lbs,Kansas,Mali
Cheikh Samb,10/22/1984,200798,https://www.nba.com/stats/player/200798/career/,Cheikh Samb,sambch01,10/22/1984,https://www.basketball-reference.com/players/s/sambch01.html,35,C,7'1,245 lbs,WTC Cornella,Senegal
Cherokee Parks,10/11/1972,685,https://www.nba.com/stats/player/685/career/,Cherokee Parks,parksch02,10/11/1972,https://www.basketball-reference.com/players/p/parksch02.html,44,F-C,6'11,240 lbs,Duke,USA
Chet Aubuchon,5/8/1916,76071,https://www.nba.com/stats/player/76071/career/,,,,,,G,5'10,137 lbs,Michigan State,USA
Chet Carlisle,11/2/1916,76341,https://www.nba.com/stats/player/76341/career/,,,,,,F,6'5,195 lbs,California,USA
Chet McNabb,4/4/1905,77557,https://www.nba.com/stats/player/77557/career/,,,,,,,,,Arizona State,USA
Chet Walker,2/22/1940,78435,https://www.nba.com/stats/player/78435/career/,Chet Walker,walkech01,2/22/1940,https://www.basketball-reference.com/players/w/walkech01.html,25,F,6'7,212 lbs,Bradley,USA
Chimezie Metu,3/22/1997,1629002,https://www.nba.com/stats/player/1629002/career/,Chimezie Metu,metuch01,3/22/1997,https://www.basketball-reference.com/players/m/metuch01.html,25,F-C,6'9,225 lbs,Southern California,USA
Chinanu Onuaku,11/1/1996,1627778,https://www.nba.com/stats/player/1627778/career/,Chinanu Onuaku,onuakch01,11/1/1996,https://www.basketball-reference.com/players/o/onuakch01.html,21,C,6'10,245 lbs,Louisville,USA
Chris Andersen,7/7/1978,2365,https://www.nba.com/stats/player/2365/career/,Chris Andersen,anderch01,7/7/1978,https://www.basketball-reference.com/players/a/anderch01.html,7,F-C,6'10,245 lbs,Blinn J.C.,USA
Chris Anstey,1/1/1975,1512,https://www.nba.com/stats/player/1512/career/,Chris Anstey,anstech01,1/1/1975,https://www.basketball-reference.com/players/a/anstech01.html,22,C,7'1,249 lbs,South East Melbourne,Australia
Chris Babb,2/14/1990,203569,https://www.nba.com/stats/player/203569/career/,Chris Babb,babbch01,2/14/1990,https://www.basketball-reference.com/players/b/babbch01.html,52,G,6'5,225 lbs,Iowa State,USA
Chris Bosh,3/24/1984,2547,https://www.nba.com/stats/player/2547/career/,Chris Bosh,boshch01,3/24/1984,https://www.basketball-reference.com/players/b/boshch01.html,1,F,6'11,235 lbs,Georgia Tech,USA
Chris Boucher,1/11/1993,1628449,https://www.nba.com/stats/player/1628449/career/,Chris Boucher,bouchch01,1/11/1993,https://www.basketball-reference.com/players/b/bouchch01.html,25,F-C,6'9,200 lbs,Oregon,Saint Lucia
Chris Carr,3/12/1974,713,https://www.nba.com/stats/player/713/career/,Chris Carr,carrch01,3/12/1974,https://www.basketball-reference.com/players/c/carrch01.html,43,G,6'6,220 lbs,Southern Illinois,USA
Chris Childs,11/20/1967,164,https://www.nba.com/stats/player/164/career/,Chris Childs,childch01,11/20/1967,https://www.basketball-reference.com/players/c/childch01.html,,G,6'3,195 lbs,Boise State,USA
Chris Chiozza,11/21/1995,1629185,https://www.nba.com/stats/player/1629185/career/,Chris Chiozza,chiozch01,11/21/1995,https://www.basketball-reference.com/players/c/chiozch01.html,4,G,5'11,175 lbs,Florida,USA
Chris Clemons,7/23/1997,1629598,https://www.nba.com/stats/player/1629598/career/,Chris Clemons,clemoch01,7/23/1997,https://www.basketball-reference.com/players/c/clemoch01.html,3,G,5'9,180 lbs,Campbell University,USA
Chris Copeland,3/17/1984,203142,https://www.nba.com/stats/player/203142/career/,Chris Copeland,copelch01,3/17/1984,https://www.basketball-reference.com/players/c/copelch01.html,22,F,6'8,235 lbs,Colorado,USA
Chris Corchiani,3/28/1968,76450,https://www.nba.com/stats/player/76450/career/,Chris Corchiani,corchch01,3/28/1968,https://www.basketball-reference.com/players/c/corchch01.html,12,G,6'1,185 lbs,North Carolina State,USA
Chris Crawford,5/13/1975,1544,https://www.nba.com/stats/player/1544/career/,Chris Crawford,crawfch01,5/13/1975,https://www.basketball-reference.com/players/c/crawfch01.html,4,F,6'9,235 lbs,Marquette,USA
Chris Douglas-Roberts,1/8/1987,201604,https://www.nba.com/stats/player/201604/career/,Chris Douglas-Roberts,douglch01,1/8/1987,https://www.basketball-reference.com/players/d/douglch01.html,55,G,6'7,210 lbs,Memphis,USA
Chris Dudley,2/22/1965,201,https://www.nba.com/stats/player/201/career/,Chris Dudley,dudlech02,2/22/1965,https://www.basketball-reference.com/players/d/dudlech02.html,14,C,6'11,260 lbs,Yale,USA
Chris Duhon,8/31/1982,2768,https://www.nba.com/stats/player/2768/career/,Chris Duhon,duhonch01,8/31/1982,https://www.basketball-reference.com/players/d/duhonch01.html,21,G,6'1,190 lbs,Duke,USA
Chris Engler,3/1/1959,76670,https://www.nba.com/stats/player/76670/career/,Chris Engler,englech01,3/1/1959,https://www.basketball-reference.com/players/e/englech01.html,50,C,6'11,245 lbs,Wyoming,USA
Chris Ford,1/11/1949,76733,https://www.nba.com/stats/player/76733/career/,Chris Ford,fordch01,1/11/1949,https://www.basketball-reference.com/players/f/fordch01.html,42,G,6'5,190 lbs,Villanova,USA
Chris Garner,2/23/1975,1612,https://www.nba.com/stats/player/1612/career/,Chris Garner,garnech01,2/2/1975,https://www.basketball-reference.com/players/g/garnech01.html,2,G,5'10,156 lbs,Memphis,USA
Chris Gatling,9/3/1967,423,https://www.nba.com/stats/player/423/career/,Chris Gatling,gatlich01,9/3/1967,https://www.basketball-reference.com/players/g/gatlich01.html,32,C-F,6'10,230 lbs,Old Dominion,USA
Chris Harris,8/11/1933,76958,https://www.nba.com/stats/player/76958/career/,Chris Harris,harrich01,8/11/1933,https://www.basketball-reference.com/players/h/harrich01.html,3,G,6'3,190 lbs,Dayton,USA
Chris Herren,9/27/1975,1914,https://www.nba.com/stats/player/1914/career/,Chris Herren,herrech01,9/27/1975,https://www.basketball-reference.com/players/h/herrech01.html,12,G,6'2,190 lbs,Fresno State,USA
Chris Hunter,7/9/1984,201805,https://www.nba.com/stats/player/201805/career/,Chris Hunter,huntech01,7/7/1984,https://www.basketball-reference.com/players/h/huntech01.html,31,C-F,6'11,240 lbs,Michigan,USA
Chris Jefferies,2/13/1980,2423,https://www.nba.com/stats/player/2423/career/,Chris Jefferies,jeffech01,2/13/1980,https://www.basketball-reference.com/players/j/jeffech01.html,6,F,6'8,230 lbs,Fresno State,USA
Chris Jent,1/11/1970,1137,https://www.nba.com/stats/player/1137/career/,Chris Jent,jentch01,1/11/1970,https://www.basketball-reference.com/players/j/jentch01.html,21,F,6'7,220 lbs,Ohio State,USA
Chris Johnson,7/17/1985,202419,https://www.nba.com/stats/player/202419/career/,Chris Johnson,johnsch03,7/15/1985,https://www.basketball-reference.com/players/j/johnsch03.html,20,F,6'11,210 lbs,Louisiana State,USA
Chris Johnson,4/29/1990,203187,https://www.nba.com/stats/player/203187/career/,Chris Johnson,johnsch04,4/29/1990,https://www.basketball-reference.com/players/j/johnsch04.html,23,F,6'6,206 lbs,Dayton,USA
Chris Kaman,4/28/1982,2549,https://www.nba.com/stats/player/2549/career/,Chris Kaman,kamanch01,4/28/1982,https://www.basketball-reference.com/players/k/kamanch01.html,35,C,7'1,265 lbs,Central Michigan,USA
Chris King,7/24/1969,12,https://www.nba.com/stats/player/12/career/,Chris King,kingch01,7/24/1969,https://www.basketball-reference.com/players/k/kingch01.html,17,F,6'8,215 lbs,Wake Forest,USA
Chris McCray,5/27/1984,200840,https://www.nba.com/stats/player/200840/career/,Chris McCray,mccrach01,5/27/1984,https://www.basketball-reference.com/players/m/mccrach01.html,12,G,6'5,192 lbs,Maryland,USA
Chris McCullough,2/5/1995,1626191,https://www.nba.com/stats/player/1626191/career/,Chris McCullough,mcculch01,2/5/1995,https://www.basketball-reference.com/players/m/mcculch01.html,1,F,6'9,215 lbs,Syracuse,USA
Chris McNealy,7/15/1961,77560,https://www.nba.com/stats/player/77560/career/,Chris McNealy,mcneach01,7/15/1961,https://www.basketball-reference.com/players/m/mcneach01.html,14,F,6'7,210 lbs,San Jose State,USA
Chris Mihm,7/16/1979,2036,https://www.nba.com/stats/player/2036/career/,Chris Mihm,mihmch01,7/16/1979,https://www.basketball-reference.com/players/m/mihmch01.html,4,C,7'1,265 lbs,Texas-Austin,USA
Chris Mills,1/25/1970,168,https://www.nba.com/stats/player/168/career/,Chris Mills,millsch01,1/25/1970,https://www.basketball-reference.com/players/m/millsch01.html,34,F,6'7,220 lbs,Arizona,USA
Chris Morris,1/20/1966,356,https://www.nba.com/stats/player/356/career/,Chris Morris,morrich01,1/20/1966,https://www.basketball-reference.com/players/m/morrich01.html,34,F,6'8,228 lbs,Auburn,USA
Chris Mullin,7/30/1963,904,https://www.nba.com/stats/player/904/career/,Chris Mullin,mullich01,7/30/1963,https://www.basketball-reference.com/players/m/mullich01.html,17,F,6'7,215 lbs,St. John's,USA
Chris Munk,8/5/1967,77664,https://www.nba.com/stats/player/77664/career/,Chris Munk,munkch01,8/5/1967,https://www.basketball-reference.com/players/m/munkch01.html,44,F,6'9,225 lbs,Southern California,USA
Chris Owens,3/1/1979,2442,https://www.nba.com/stats/player/2442/career/,Chris Owens,owensch01,3/1/1979,https://www.basketball-reference.com/players/o/owensch01.html,20,F,6'7,245 lbs,Texas-Austin,USA
Chris Paul,5/6/1985,101108,https://www.nba.com/stats/player/101108/career/,Chris Paul,paulch01,5/6/1985,https://www.basketball-reference.com/players/p/paulch01.html,3,G,6'1,175 lbs,Wake Forest,USA
Chris Porter,5/9/1978,2084,https://www.nba.com/stats/player/2084/career/,Chris Porter,portech01,5/9/1978,https://www.basketball-reference.com/players/p/portech01.html,4,F,6'7,218 lbs,Auburn,USA
Chris Quinn,9/27/1983,200809,https://www.nba.com/stats/player/200809/career/,Chris Quinn,quinnch01,9/27/1983,https://www.basketball-reference.com/players/q/quinnch01.html,20,G,6'2,175 lbs,Notre Dame,USA
Chris Richard,12/25/1984,201181,https://www.nba.com/stats/player/201181/career/,Chris Richard,richach01,12/25/1984,https://www.basketball-reference.com/players/r/richach01.html,35,F,6'9,256 lbs,Florida,USA
Chris Robinson,4/2/1974,997,https://www.nba.com/stats/player/997/career/,Chris Robinson,robinch01,4/2/1974,https://www.basketball-reference.com/players/r/robinch01.html,5,G,6'5,200 lbs,Western Kentucky,USA
Chris Silva,9/19/1996,1629735,https://www.nba.com/stats/player/1629735/career/,Chris Silva,silvach01,9/19/1996,https://www.basketball-reference.com/players/s/silvach01.html,30,F,6'8,234 lbs,South Carolina,Gabon
Chris Singleton,11/21/1989,202698,https://www.nba.com/stats/player/202698/career/,Chris Singleton,singlch01,11/21/1989,https://www.basketball-reference.com/players/s/singlch01.html,31,F,6'9,228 lbs,Florida State,USA
Chris Smith,10/13/1987,203147,https://www.nba.com/stats/player/203147/career/,Chris Smith,smithch05,10/13/1987,https://www.basketball-reference.com/players/s/smithch05.html,0,G,6'2,200 lbs,Louisville,USA
Chris Smith,5/17/1970,1814,https://www.nba.com/stats/player/1814/career/,Chris Smith,smithch03,5/17/1970,https://www.basketball-reference.com/players/s/smithch03.html,3,G,6'3,190 lbs,Connecticut,USA
Chris Taft,3/10/1985,101147,https://www.nba.com/stats/player/101147/career/,Chris Taft,taftch01,3/10/1985,https://www.basketball-reference.com/players/t/taftch01.html,21,F,6'10,261 lbs,Pittsburgh,USA
Chris Washburn,5/13/1965,78463,https://www.nba.com/stats/player/78463/career/,Chris Washburn,washbch01,5/13/1965,https://www.basketball-reference.com/players/w/washbch01.html,50,C,6'11,225 lbs,North Carolina State,USA
Chris Webber,3/1/1973,185,https://www.nba.com/stats/player/185/career/,Chris Webber,webbech01,3/1/1973,https://www.basketball-reference.com/players/w/webbech01.html,4,C-F,6'10,245 lbs,Michigan,USA
Chris Welp,1/2/1964,1846,https://www.nba.com/stats/player/1846/career/,Chris Welp,welpch01,1/2/1964,https://www.basketball-reference.com/players/w/welpch01.html,40,C,7'1,245 lbs,Washington,USA
Chris Whitney,10/5/1971,43,https://www.nba.com/stats/player/43/career/,Chris Whitney,whitnch01,10/5/1971,https://www.basketball-reference.com/players/w/whitnch01.html,12,G,6'1,175 lbs,Clemson,USA
Chris Wilcox,9/3/1982,2404,https://www.nba.com/stats/player/2404/career/,Chris Wilcox,wilcoch01,9/3/1982,https://www.basketball-reference.com/players/w/wilcoch01.html,44,F-C,6'10,235 lbs,Maryland,USA
Chris Wright,11/4/1989,203203,https://www.nba.com/stats/player/203203/career/,Chris Wright,wrighch02,11/4/1989,https://www.basketball-reference.com/players/w/wrighch02.html,8,G,6'1,210 lbs,Georgetown,USA
Chris Wright,9/30/1988,202874,https://www.nba.com/stats/player/202874/career/,Chris Wright,wrighch01,9/30/1988,https://www.basketball-reference.com/players/w/wrighch01.html,15,F,6'9,226 lbs,University of Dayton,USA
Christian Eyenga,6/22/1989,201963,https://www.nba.com/stats/player/201963/career/,Christian Eyenga,eyengch01,6/22/1989,https://www.basketball-reference.com/players/e/eyengch01.html,88,F,6'7,210 lbs,DKV Joventut,Congo
Christian Laettner,8/17/1969,363,https://www.nba.com/stats/player/363/career/,Christian Laettner,laettch01,8/17/1969,https://www.basketball-reference.com/players/l/laettch01.html,44,F-C,6'11,245 lbs,Duke,USA
Christian Wood,9/27/1995,1626174,https://www.nba.com/stats/player/1626174/career/,Christian Wood,woodch01,9/27/1995,https://www.basketball-reference.com/players/w/woodch01.html,35,F,6'10,214 lbs,UNLV,USA
Chuck Aleksinas,2/26/1959,76021,https://www.nba.com/stats/player/76021/career/,Chuck Aleksinas,aleksch01,2/26/1959,https://www.basketball-reference.com/players/a/aleksch01.html,50,C,6'11,260 lbs,Connecticut,USA
Chuck Connors,4/10/1921,76432,https://www.nba.com/stats/player/76432/career/,,,,,11,F,6'5,190 lbs,Seton Hall,USA
Chuck Cooper,9/29/1926,76442,https://www.nba.com/stats/player/76442/career/,Chuck Cooper,coopech01,9/29/1926,https://www.basketball-reference.com/players/c/coopech01.html,6,F,6'5,210 lbs,Duquesne,USA
Chuck Gilmur,8/13/1922,76818,https://www.nba.com/stats/player/76818/career/,Chuck Gilmur,gilmuch01,8/13/1922,https://www.basketball-reference.com/players/g/gilmuch01.html,,F,6'4,225 lbs,Washington,USA
Chuck Grigsby,8/15/1928,76891,https://www.nba.com/stats/player/76891/career/,Chuck Grigsby,grigsch01,8/15/1928,https://www.basketball-reference.com/players/g/grigsch01.html,17,G,6'5,190 lbs,Dayton,USA
Chuck Halbert,2/27/1919,76918,https://www.nba.com/stats/player/76918/career/,Chick Halbert,halbech01,2/27/1919,https://www.basketball-reference.com/players/h/halbech01.html,,C,6'9,225 lbs,West Texas A&M,USA
Chuck Hayes,6/11/1983,101236,https://www.nba.com/stats/player/101236/career/,Chuck Hayes,hayesch01,6/11/1983,https://www.basketball-reference.com/players/h/hayesch01.html,44,C-F,6'6,240 lbs,Kentucky,USA
Chuck Lowery,11/12/1949,77416,https://www.nba.com/stats/player/77416/career/,Charlie Lowery,lowerch01,11/12/1949,https://www.basketball-reference.com/players/l/lowerch01.html,6,G,6'3,185 lbs,Puget Sound,USA
Chuck Mencel,4/21/1933,77579,https://www.nba.com/stats/player/77579/career/,Chuck Mencel,mencech01,4/21/1933,https://www.basketball-reference.com/players/m/mencech01.html,18,G,6'1,168 lbs,Minnesota,USA
Chuck Mrazovich,2/26/1924,77657,https://www.nba.com/stats/player/77657/career/,Chuck Mrazovich,mrazoch01,2/26/1924,https://www.basketball-reference.com/players/m/mrazoch01.html,,F,6'5,185 lbs,Eastern Kentucky,USA
Chuck Nevitt,6/13/1959,77707,https://www.nba.com/stats/player/77707/career/,Chuck Nevitt,nevitch01,6/13/1959,https://www.basketball-reference.com/players/n/nevitch01.html,52,C,7'5,217 lbs,North Carolina State,USA
Chuck Noble,7/24/1931,77722,https://www.nba.com/stats/player/77722/career/,Chuck Noble,noblech01,7/24/1931,https://www.basketball-reference.com/players/n/noblech01.html,14,G,6'4,190 lbs,Louisville,USA
Chuck Osborne,1/21/1939,77772,https://www.nba.com/stats/player/77772/career/,Chuck Osborne,osborch01,1/21/1939,https://www.basketball-reference.com/players/o/osborch01.html,23,F,6'6,210 lbs,Western Kentucky,USA
Chuck Person,6/27/1964,456,https://www.nba.com/stats/player/456/career/,Chuck Person,persoch01,6/27/1964,https://www.basketball-reference.com/players/p/persoch01.html,45,F,6'8,241 lbs,Auburn,USA
Chuck Terry,9/27/1950,78306,https://www.nba.com/stats/player/78306/career/,Chuck Terry,terrych01,9/27/1950,https://www.basketball-reference.com/players/t/terrych01.html,12,G,6'6,215 lbs,Long Beach State,USA
Chuck Williams,6/6/1946,78547,https://www.nba.com/stats/player/78547/career/,Chuck Williams,willich02,6/6/1946,https://www.basketball-reference.com/players/w/willich02.html,11,G,6'2,175 lbs,Colorado,USA
Chuckie Williams,12/31/1953,78541,https://www.nba.com/stats/player/78541/career/,Chuckie Williams,willich03,12/31/1953,https://www.basketball-reference.com/players/w/willich03.html,15,G,6'3,180 lbs,Kansas State,USA
Chucky Atkins,8/14/1974,1088,https://www.nba.com/stats/player/1088/career/,Chucky Atkins,atkinch01,8/14/1974,https://www.basketball-reference.com/players/a/atkinch01.html,17,G,5'11,185 lbs,South Florida,USA
Chucky Brown,2/29/1968,359,https://www.nba.com/stats/player/359/career/,Chucky Brown,brownch01,2/29/1968,https://www.basketball-reference.com/players/b/brownch01.html,52,F,6'8,220 lbs,North Carolina State,USA
Chuma Okeke,8/18/1998,1629643,https://www.nba.com/stats/player/1629643/career/,Chuma Okeke,okekech01,8/18/1998,https://www.basketball-reference.com/players/o/okekech01.html,3,F,6'6,229 lbs,Auburn,USA
CJ Elleby,6/16/2000,1629604,https://www.nba.com/stats/player/1629604/career/,CJ Elleby,ellebcj01,6/16/2000,https://www.basketball-reference.com/players/e/ellebcj01.html,16,F-G,6'6,200 lbs,Washington State,USA
CJ McCollum,9/19/1991,203468,https://www.nba.com/stats/player/203468/career/,CJ McCollum,mccolcj01,9/19/1991,https://www.basketball-reference.com/players/m/mccolcj01.html,3,G,6'3,190 lbs,Lehigh,USA
CJ Miles,3/18/1987,101139,https://www.nba.com/stats/player/101139/career/,C.J. Miles,milescj01,3/18/1987,https://www.basketball-reference.com/players/m/milescj01.html,6,F-G,6'6,220 lbs,No College,USA
Clar. Weatherspoon,9/8/1970,221,https://www.nba.com/stats/player/221/career/,Clarence Weatherspoon,weathcl01,9/8/1970,https://www.basketball-reference.com/players/w/weathcl01.html,30,F,6'7,270 lbs,Southern Mississippi,USA
Clarence Glover,11/1/1947,76825,https://www.nba.com/stats/player/76825/career/,Clarence Glover,glovecl01,11/1/1947,https://www.basketball-reference.com/players/g/glovecl01.html,28,F,6'8,210 lbs,Western Kentucky,USA
Clarence Hermsen,3/12/1923,77007,https://www.nba.com/stats/player/77007/career/,Kleggie Hermsen,hermskl01,3/12/1923,https://www.basketball-reference.com/players/h/hermskl01.html,10,C,6'9,225 lbs,Minnesota,USA
Clarence Kea,2/2/1959,77229,https://www.nba.com/stats/player/77229/career/,Clarence Kea,keacl01,2/2/1959,https://www.basketball-reference.com/players/k/keacl01.html,53,F,6'6,218 lbs,Lamar,USA
Clark Kellogg,7/2/1961,77236,https://www.nba.com/stats/player/77236/career/,Clark Kellogg,kellocl01,7/2/1961,https://www.basketball-reference.com/players/k/kellocl01.html,33,F,6'7,225 lbs,Ohio State,USA
Claude English,12/26/1946,76674,https://www.nba.com/stats/player/76674/career/,Claude English,englicl01,12/26/1946,https://www.basketball-reference.com/players/e/englicl01.html,15,G,6'4,185 lbs,Rhode Island,USA
Claude Gregory,12/26/1958,76884,https://www.nba.com/stats/player/76884/career/,Claude Gregory,gregocl01,12/26/1958,https://www.basketball-reference.com/players/g/gregocl01.html,43,F,6'8,205 lbs,Wisconsin,USA
Claude Overton,12/16/1927,77780,https://www.nba.com/stats/player/77780/career/,Claude Overton,overtcl01,12/16/1927,https://www.basketball-reference.com/players/o/overtcl01.html,14,G,6'2,195 lbs,East Central,USA
Claude Terry,1/12/1950,78308,https://www.nba.com/stats/player/78308/career/,Claude Terry,terrycl01,1/12/1950,https://www.basketball-reference.com/players/t/terrycl01.html,12,G,6'5,195 lbs,Stanford,USA
Clay Johnson,7/18/1956,77135,https://www.nba.com/stats/player/77135/career/,Clay Johnson,johnscl02,7/18/1956,https://www.basketball-reference.com/players/j/johnscl02.html,34,G,6'4,175 lbs,Missouri,USA
Cleanthony Early,4/17/1991,203921,https://www.nba.com/stats/player/203921/career/,Cleanthony Early,earlycl01,4/17/1991,https://www.basketball-reference.com/players/e/earlycl01.html,11,F,6'8,210 lbs,Wichita State,USA
Clem Haskins,7/11/1943,76965,https://www.nba.com/stats/player/76965/career/,Clem Haskins,haskicl01,7/11/1943,https://www.basketball-reference.com/players/h/haskicl01.html,14,G,6'3,195 lbs,Western Kentucky,USA
Clemon Johnson,9/12/1956,77136,https://www.nba.com/stats/player/77136/career/,Clemon Johnson,johnscl01,9/12/1956,https://www.basketball-reference.com/players/j/johnscl01.html,45,C,6'10,240 lbs,Florida A&M,USA
Cleo Hill,5/24/1938,77025,https://www.nba.com/stats/player/77025/career/,Cleo Hill,hillcl01,5/24/1938,https://www.basketball-reference.com/players/h/hillcl01.html,24,G,6'1,185 lbs,Winston-Salem State,USA
Cleveland Buckner,8/17/1938,76295,https://www.nba.com/stats/player/76295/career/,Cleveland Buckner,buckncl01,8/17/1938,https://www.basketball-reference.com/players/b/buckncl01.html,12,F,6'9,210 lbs,Jackson State,USA
Cliff Alexander,11/16/1995,1626146,https://www.nba.com/stats/player/1626146/career/,Cliff Alexander,alexacl01,11/16/1995,https://www.basketball-reference.com/players/a/alexacl01.html,34,F,6'8,240 lbs,Kansas,USA
Cliff Anderson,9/7/1944,76035,https://www.nba.com/stats/player/76035/career/,Cliff Anderson,andercl01,9/7/1944,https://www.basketball-reference.com/players/a/andercl01.html,26,G,6'2,200 lbs,St. Joseph's (PA),USA
Cliff Barker,1/15/1921,76098,https://www.nba.com/stats/player/76098/career/,Cliff Barker,barkecl01,1/15/1921,https://www.basketball-reference.com/players/b/barkecl01.html,,G,6'2,185 lbs,Kentucky,USA
Cliff Hagan,12/9/1931,76912,https://www.nba.com/stats/player/76912/career/,Cliff Hagan,hagancl01,12/9/1931,https://www.basketball-reference.com/players/h/hagancl01.html,16,F,6'4,210 lbs,Kentucky,USA
Cliff Levingston,1/4/1961,77377,https://www.nba.com/stats/player/77377/career/,Cliff Levingston,levincl01,1/4/1961,https://www.basketball-reference.com/players/l/levincl01.html,53,F,6'8,210 lbs,Wichita State,USA
Cliff Meely,7/10/1947,77570,https://www.nba.com/stats/player/77570/career/,Cliff Meely,meelycl01,7/10/1947,https://www.basketball-reference.com/players/m/meelycl01.html,21,F,6'8,215 lbs,Colorado,USA
Cliff Pondexter,9/15/1954,77869,https://www.nba.com/stats/player/77869/career/,Cliff Pondexter,pondecl01,9/15/1954,https://www.basketball-reference.com/players/p/pondecl01.html,41,F,6'9,233 lbs,Long Beach State,USA
Cliff T. Robinson,3/13/1960,77986,https://www.nba.com/stats/player/77986/career/,Cliff Robinson,robincl01,3/13/1960,https://www.basketball-reference.com/players/r/robincl01.html,43,F,6'9,220 lbs,Southern California,USA
Cliff Williams,4/15/1945,78543,https://www.nba.com/stats/player/78543/career/,Cliff Williams,willicl01,4/15/1945,https://www.basketball-reference.com/players/w/willicl01.html,12,G,6'3,180 lbs,Bowling Green,USA
Clifford Lett,12/23/1965,77374,https://www.nba.com/stats/player/77374/career/,Clifford Lett,lettcl01,12/23/1965,https://www.basketball-reference.com/players/l/lettcl01.html,11,G,6'3,170 lbs,Florida,USA
Clifford Ray,1/21/1949,77917,https://www.nba.com/stats/player/77917/career/,Clifford Ray,raycl01,1/21/1949,https://www.basketball-reference.com/players/r/raycl01.html,44,C,6'9,230 lbs,Oklahoma,USA
Clifford Robinson,12/16/1966,361,https://www.nba.com/stats/player/361/career/,Clifford Robinson,robincl02,12/16/1966,https://www.basketball-reference.com/players/r/robincl02.html,30,F-C,6'10,245 lbs,Connecticut,USA
Clifford Rozier,10/31/1972,32,https://www.nba.com/stats/player/32/career/,Clifford Rozier,roziecl01,10/31/1972,https://www.basketball-reference.com/players/r/roziecl01.html,7,C-F,6'11,230 lbs,Louisville,USA
Clint Capela,5/18/1994,203991,https://www.nba.com/stats/player/203991/career/,Clint Capela,capelca01,5/18/1994,https://www.basketball-reference.com/players/c/capelca01.html,15,C,6'10,240 lbs,Elan Chalon,Switzerland
Clint McDaniel,2/26/1972,723,https://www.nba.com/stats/player/723/career/,Clint McDaniel,mcdancl01,2/26/1972,https://www.basketball-reference.com/players/m/mcdancl01.html,20,G,6'4,180 lbs,Arkansas,USA
Clint Richardson,8/7/1956,77950,https://www.nba.com/stats/player/77950/career/,Clint Richardson,richacl01,8/7/1956,https://www.basketball-reference.com/players/r/richacl01.html,4,G,6'3,195 lbs,Seattle,USA
Clint Wager,1/20/1920,78427,https://www.nba.com/stats/player/78427/career/,Clint Wager,wagercl01,1/20/1920,https://www.basketball-reference.com/players/w/wagercl01.html,17,C,6'5,210 lbs,St. Mary's (MN),USA
Clinton Smith,1/19/1964,78181,https://www.nba.com/stats/player/78181/career/,Clinton Smith,smithcl01,1/19/1964,https://www.basketball-reference.com/players/s/smithcl01.html,22,F,6'6,210 lbs,Cleveland State,USA
Clinton Wheeler,10/27/1959,78504,https://www.nba.com/stats/player/78504/career/,Clinton Wheeler,wheelcl01,10/27/1959,https://www.basketball-reference.com/players/w/wheelcl01.html,11,G,6'1,185 lbs,William Paterson,USA
Clyde Drexler,6/22/1962,17,https://www.nba.com/stats/player/17/career/,Clyde Drexler,drexlcl01,6/22/1962,https://www.basketball-reference.com/players/d/drexlcl01.html,22,G,6'7,222 lbs,Houston,USA
Clyde Lee,3/14/1944,77357,https://www.nba.com/stats/player/77357/career/,Clyde Lee,leecl01,3/14/1944,https://www.basketball-reference.com/players/l/leecl01.html,34,F,6'10,205 lbs,Vanderbilt,USA
Clyde Lovellette,9/7/1929,77414,https://www.nba.com/stats/player/77414/career/,Clyde Lovellette,lovelcl01,9/7/1929,https://www.basketball-reference.com/players/l/lovelcl01.html,34,C,6'9,234 lbs,Kansas,USA
Clyde Mayes,3/17/1953,77492,https://www.nba.com/stats/player/77492/career/,Clyde Mayes,mayescl01,3/17/1953,https://www.basketball-reference.com/players/m/mayescl01.html,22,F,6'8,225 lbs,Furman,USA
Coby Dietrick,7/23/1948,76567,https://www.nba.com/stats/player/76567/career/,Coby Dietrick,dietrco01,7/23/1948,https://www.basketball-reference.com/players/d/dietrco01.html,25,C,6'11,220 lbs,San Jose State,USA
Coby Karl,6/8/1983,201207,https://www.nba.com/stats/player/201207/career/,Coby Karl,karlco01,3/6/1983,https://www.basketball-reference.com/players/k/karlco01.html,22,G,6'5,215 lbs,Boise State,USA
Coby White,2/16/2000,1629632,https://www.nba.com/stats/player/1629632/career/,Coby White,whiteco01,2/16/2000,https://www.basketball-reference.com/players/w/whiteco01.html,0,G,6'5,195 lbs,North Carolina,USA
