NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Alfredrick Hughes,7/19/1962,77076,https://www.nba.com/stats/player/77076/career/,Alfredrick Hughes,hugheri01,7/19/1962,https://www.basketball-reference.com/players/h/hugheri01.html,6,F,6'5,215 lbs,Loyola-Chicago,USA
Alize Johnson,4/22/1996,1628993,https://www.nba.com/stats/player/1628993/career/,Alize Johnson,johnsal02,4/22/1996,https://www.basketball-reference.com/players/j/johnsal02.html,24,F,6'7,212 lbs,Missouri State,USA
Allan Bristow,8/23/1951,76257,https://www.nba.com/stats/player/76257/career/,Allan Bristow,bristal01,8/23/1951,https://www.basketball-reference.com/players/b/bristal01.html,23,F,6'7,210 lbs,Virginia Tech,USA
Allan Houston,4/20/1971,275,https://www.nba.com/stats/player/275/career/,Allan Houston,houstal01,4/20/1971,https://www.basketball-reference.com/players/h/houstal01.html,20,G,6'6,200 lbs,Tennessee,USA
Allan Ray,6/17/1984,200810,https://www.nba.com/stats/player/200810/career/,Allan Ray,rayal01,6/17/1984,https://www.basketball-reference.com/players/r/rayal01.html,12,G,6'2,190 lbs,Villanova,USA
Allen Crabbe,4/9/1992,203459,https://www.nba.com/stats/player/203459/career/,Allen Crabbe,crabbal01,4/9/1992,https://www.basketball-reference.com/players/c/crabbal01.html,33,G-F,6'6,212 lbs,California,USA
Allen Iverson,6/7/1975,947,https://www.nba.com/stats/player/947/career/,Allen Iverson,iversal01,6/7/1975,https://www.basketball-reference.com/players/i/iversal01.html,3,G,6'1,165 lbs,Georgetown,USA
Allen Leavell,5/27/1957,77353,https://www.nba.com/stats/player/77353/career/,Allen Leavell,leaveal01,5/27/1957,https://www.basketball-reference.com/players/l/leaveal01.html,30,G,6'1,170 lbs,Oklahoma City,USA
Allen Murphy,7/15/1952,77668,https://www.nba.com/stats/player/77668/career/,Allen Murphy,murphal01,7/15/1952,https://www.basketball-reference.com/players/m/murphal01.html,20,G,6'4,190 lbs,Louisville,USA
Allie McGuire,7/10/1951,77535,https://www.nba.com/stats/player/77535/career/,Allie McGuire,mcguial02,7/10/1951,https://www.basketball-reference.com/players/m/mcguial02.html,16,G,6'3,175 lbs,Marquette,USA
Allonzo Trier,1/17/1996,1629019,https://www.nba.com/stats/player/1629019/career/,Allonzo Trier,trieral01,1/17/1996,https://www.basketball-reference.com/players/t/trieral01.html,14,G,6'5,200 lbs,Arizona,USA
Alonzo Bradley,10/16/1953,76229,https://www.nba.com/stats/player/76229/career/,Alonzo Bradley,bradlal01,10/16/1953,https://www.basketball-reference.com/players/b/bradlal01.html,22,F,6'6,190 lbs,Texas Southern,USA
Alonzo Gee,5/29/1987,202087,https://www.nba.com/stats/player/202087/career/,Alonzo Gee,geeal01,5/29/1987,https://www.basketball-reference.com/players/g/geeal01.html,15,F,6'6,225 lbs,Alabama,USA
