,Date,Team,Acquired,Relinquished,Notes
0,2000-10-30,76ers,,Ademola Okulaja,placed on IR with strained back
1,2000-10-30,76ers,,Craig Claxton,placed on IL with torn ACL in left knee (out for season)
2,2000-10-30,76ers,,Matt Geiger,placed on IR with recovery from left knee surgery
3,2000-10-30,Blazers,,Arvydas Sabonis,placed on IR with recovery from left knee surgery
4,2000-10-30,Blazers,,Detlef Schrempf,placed on IR with pinched nerve in neck (player had not officially submitted retirement papers)
5,2000-10-30,Blazers,,Gary Grant,placed on IL with sore right knee
6,2000-10-30,Bucks,,Jason Hart,placed on IL with lower back spasms
7,2000-10-30,Bucks,,Mark Pope,placed on IL with back spasms
8,2000-10-30,Bulls,,Corey Benjamin,placed on IL with sore left shoulder / right shoulder tendinitis (per Bulls media guide)
9,2000-10-30,Bulls,,Dalibor Bagaric,placed on IL with sore right knee
10,2000-10-30,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
11,2000-10-30,Cavaliers,,Brevin Knight,placed on IR with surgery on right patella
12,2000-10-30,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
13,2000-10-30,Cavaliers,,Mark Bryant,placed on IL with patellar tendinitis in both knees
14,2000-10-30,Celtics,,Chris Herren,placed on IL with sprained left ankle
15,2000-10-30,Celtics,,Greg Minor,placed on IR with fractured right hip
16,2000-10-30,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
17,2000-10-30,Clippers,,Earl Boykins,placed on IL with bruised right knee
18,2000-10-30,Clippers,,Zendon Hamilton,placed on IL with strained lower back
19,2000-10-30,Grizzlies,,Brent Price,placed on IL with right knee inflammation
20,2000-10-30,Grizzlies,,Doug West,placed on IL with strained right shoulder
21,2000-10-30,Grizzlies,,William Cunningham,placed on IL with right knee tendinitis
22,2000-10-30,Hawks,,Cal Bowdler,placed on IL with sprained MCL in right knee
23,2000-10-30,Hawks,,Dikembe Mutombo,placed on IR with malaria
24,2000-10-30,Hawks,,Dion Glover,placed on IR with a stress fracture in left foot
25,2000-10-30,Heat,,Alonzo Mourning,placed on IL with kidney disorder
26,2000-10-30,Heat,,Harold Jamison,placed on IR with bruised knee & calf
27,2000-10-30,Heat,,Ricky Davis,placed on IL with stress fracture in right foot
28,2000-10-30,Hornets,,Lee Nailon,placed on IL with right ankle tendinitis (right knee tendinitis per E)
29,2000-10-30,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
30,2000-10-30,Jazz,,John Crotty,placed on IR with recovery from right knee surgery
31,2000-10-30,Jazz,,Scott Padgett,placed on IL with left knee tendinitis
32,2000-10-30,Kings,,Jabari Smith,placed on IL with patella tendinitis
33,2000-10-30,Knicks,,Jonathan Kerner,placed on IL with right knee patella tendinitis
34,2000-10-30,Knicks,,Luc Longley,"placed on IR with chondromalacia, right knee"
35,2000-10-30,Knicks,,Pete Mickeal,placed on IL with lower back pain
36,2000-10-30,Lakers,,Derek Fisher,placed on IL with stress fracture in right foot
37,2000-10-30,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
38,2000-10-30,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
39,2000-10-30,Magic,,Dee Brown,placed on IR with ruptured tendon in left (right?) knee
40,2000-10-30,Mavericks,,Donnell Harvey,placed on IR with bruised elbow
41,2000-10-30,Mavericks,,Etan Thomas,placed on IL with sprained big toe
42,2000-10-30,Mavericks,,Gary Trent,placed on IR with strained left abductor muscle
43,2000-10-30,Nets,,Jamie Feick,placed on IL with left Achilles tendon injury
44,2000-10-30,Nets,,Keith Van Horn,placed on IL with broken left leg
45,2000-10-30,Nets,,Kerry Kittles,placed on IL with right knee surgery
46,2000-10-30,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
47,2000-10-30,Nuggets,,Mamadou N'diaye,placed on IL with strained groin
48,2000-10-30,Nuggets,,Ryan Bowen,placed on IL with sprained left ankle
49,2000-10-30,Pacers,,Bruno Sundov,placed on IL with sprained left ankle
50,2000-10-30,Pacers,,Lari Ketner,placed on IL with left patella tendinitis
51,2000-10-30,Pacers,,Terry Mills,placed on IR with degenerative arthritis in left knee
52,2000-10-30,Pistons,,Brian Cardinal,placed on IL with patellar tendinitis in both knees
53,2000-10-30,Pistons,,Dana Barros,placed on IL with strained lower back
54,2000-10-30,Pistons,,Torraye Braggs,placed on IL with strained right elbow
55,2000-10-30,Raptors,,Aleksandar Radojevic,placed on IR with recovery from back surgery
56,2000-10-30,Raptors,,Garth Joseph,placed on IR with strained rib cage muscles
57,2000-10-30,Raptors,,Michael Stewart,placed on IL recovering from surgery on knee
58,2000-10-30,Rockets,,Dan Langhi,placed on IL with bilateral medial tibial periositis (shin splints)
59,2000-10-30,Sonics,,David Wingate,placed on IL with sore left knee
60,2000-10-30,Sonics,,Olumide Oyedeji,placed on IL with sprained right ankle
61,2000-10-30,Spurs,,Derrick Dial,placed on IR with left shoulder impingement
62,2000-10-30,Spurs,,Ira Newble,placed on IR with plantar fasciaitis in left foot
63,2000-10-30,Spurs,,Shawnelle Scott,placed on IL with left patella tendinitis
64,2000-10-30,Suns,,Anfernee Hardaway,placed on IL with left knee injury
65,2000-10-30,Suns,,Rex Chapman,placed on IR with thumb & knee injuries
66,2000-10-30,Suns,,Tom Gugliotta,placed on IL with torn ACL in left knee
67,2000-10-30,Timberwolves,,Andrae Patterson,placed on IL with right knee injury
68,2000-10-30,Timberwolves,,Todd Day,placed on IL with hyperextended left knee
69,2000-10-30,Timberwolves,,Tom Hammonds,placed on IR with sore ankle (knee injury per ESPN)
70,2000-10-30,Warriors,,Bob Sura,placed on IL with herniated disc in back
71,2000-10-30,Warriors,,Chris Mullin,placed on IL with strained lower back
72,2000-10-30,Wizards,,Calvin Booth,placed on IL with strained right hamstring
73,2000-10-30,Wizards,,Laron Profit,placed on IL with back spasms
74,2000-10-30,Wizards,,Mike Smith,placed on IL with left patella tendinitis
75,2000-10-31,Heat,,Dan Majerle,placed on IL with strained left hamstring
76,2000-11-02,Magic,,Andrew DeClercq,placed on IL with strained left hamstring
77,2000-11-05,Celtics,,Kenny Anderson,placed on IR with facial injury / broken jaw
78,2000-11-05,Magic,,Grant Hill,placed on IL with sore left ankle
79,2000-11-06,Celtics,Greg Minor,,activated from IL
80,2000-11-08,Hawks,Dikembe Mutombo,,activated from IL
81,2000-11-08,Rockets,Dan Langhi,,activated from IL
82,2000-11-08,Wizards,,Ronald Jones,placed on IL with fractured left index finger
83,2000-11-08,Wizards,Calvin Booth,,activated from IL
84,2000-11-09,Rockets,,Kelvin Cato,placed on IL with sprained left ankle
85,2000-11-10,Bucks,,Darvin Ham,placed on IR recovering from left foot surgery
86,2000-11-10,Bucks,Mark Pope,,activated from IL
87,2000-11-10,Celtics,,Jerome Moiso,placed on IL with strained right ankle
88,2000-11-10,Celtics,,Randy Brown,placed on IL with groin injury
89,2000-11-10,Celtics,Chris Herren,,activated from IL
90,2000-11-10,Raptors,,Tyrone Bogues,placed on IL recovering from surgery on right knee
91,2000-11-10,Raptors,Garth Joseph,,activated from IL
92,2000-11-10,Warriors,Chris Mullin,,activated from IL
93,2000-11-11,Bulls,,Brad Miller,placed on IL with broken right hand
94,2000-11-11,Bulls,,Bryce Drew,placed on IL with strained left hamstring
95,2000-11-11,Bulls,Corey Benjamin,,activated from IL
96,2000-11-11,Bulls,Jake Voskuhl,,activated from IL
97,2000-11-11,Celtics,,Adrian Griffin,placed on IL with lower back spasms
98,2000-11-11,Celtics,Walter McCarty,,activated from IL
99,2000-11-11,Lakers,,Tyronn Lue,placed on IL with sprained right ankle
100,2000-11-11,Warriors,,Vonteego Cummings,placed on IR with fractured right cheekbone
101,2000-11-12,Lakers,Mike Penberthy,,activated from IL
102,2000-11-12,Magic,Andrew DeClercq,,activated from IL
103,2000-11-14,Blazers,,Antonio Harvey,placed on IL with sore right knee
104,2000-11-14,Blazers,Arvydas Sabonis,,activated from IL
105,2000-11-14,Cavaliers,,Wesley Person,placed on IL with bruised right elbow
106,2000-11-14,Cavaliers,J.R. Reid,,activated from IL
107,2000-11-14,Hawks,,Roshown McLeod,placed on IR with adjustment disorder due to death of mother
108,2000-11-14,Hawks,Cal Bowdler,,activated from IL
109,2000-11-15,Cavaliers,Mark Bryant,,activated from IL
110,2000-11-15,Warriors,,Danny Fortson,placed on IR with sore right foot
111,2000-11-16,Hornets,,Otis Thorpe,placed on IL with strained left foot
112,2000-11-16,Hornets,Lee Nailon,,activated from IL
113,2000-11-17,Bucks,,Scott Williams,placed on IL with lower back spasms
114,2000-11-17,Suns,,Chris Dudley,placed on IL with sprained left ankle
115,2000-11-17,Suns,Tom Gugliotta,,activated from IL
116,2000-11-17,Timberwolves,,Sam Jacobson,placed on IL with left knee patella tendinitis
117,2000-11-17,Timberwolves,Todd Day,,activated from IL
118,2000-11-18,Clippers,,Brian Skinner,placed on IL with sprained right ankle
119,2000-11-18,Clippers,Zendon Hamilton,,activated from IL
120,2000-11-18,Hornets,,Derrick Coleman,placed on IR with poor conditioning / heart medication
121,2000-11-18,Hornets,Terrance Roberson,,activated from IL
122,2000-11-18,Raptors,,Garth Joseph,placed on IL with bruised ribs
123,2000-11-18,Raptors,Michael Stewart,,activated from IL
124,2000-11-18,Sonics,Olumide Oyedeji,,activated from IL
125,2000-11-20,76ers,,Todd MacCulloch,placed on IL with left ankle tendinitis
126,2000-11-20,76ers,Matt Geiger,,activated from IL
127,2000-11-20,Clippers,,Zendon Hamilton,placed on IL with strained lower back
128,2000-11-20,Clippers,Earl Boykins,,activated from IL
129,2000-11-20,Grizzlies,,Michael Dickerson,placed on IL with sprained left ankle
130,2000-11-20,Grizzlies,Doug West,,activated from IL
131,2000-11-20,Pistons,,Billy Owens,placed on IL with back spasms
132,2000-11-20,Pistons,Torraye Braggs,,activated from IL
133,2000-11-21,Bulls,,Jake Voskuhl,placed on IL with strained right hip flexor
134,2000-11-21,Bulls,Dalibor Bagaric,,activated from IL
135,2000-11-21,Pacers,,Tyus Edney,placed on IL with plantar fasciatis in left foot
136,2000-11-21,Pacers,Bruno Sundov,,activated from IL
137,2000-11-21,Warriors,Bob Sura,,activated from IL
138,2000-11-22,Cavaliers,,Vernell Coles,placed on IL with left knee inflammation
139,2000-11-22,Celtics,,Adrian Griffin,placed on IL with sore lower back
140,2000-11-22,Celtics,Jerome Moiso,,activated from IL
141,2000-11-22,Pacers,,Sam Perkins,placed on IL with back spasms
142,2000-11-22,Spurs,,Jaren Jackson Sr.,placed on IL with sprained left ankle
143,2000-11-22,Spurs,Ira Newble,,activated from IL
144,2000-11-23,Pacers,Terry Mills,,activated from IL
145,2000-11-24,Hawks,,Jim Jackson,placed on IL with sprained MCL in right knee
146,2000-11-24,Knicks,,Felton Spencer,placed on IL with sprained right knee
147,2000-11-24,Knicks,Luc Longley,,activated from IL
148,2000-11-27,Knicks,,Charlie Ward,placed on IR recovering from surgery on right knee
149,2000-11-27,Knicks,Jonathan Kerner,,activated from IL
150,2000-11-28,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
151,2000-11-28,Cavaliers,Wesley Person,,activated from IL
152,2000-11-28,Celtics,,Mark Blount,placed on IL with sprained right ankle
153,2000-11-28,Celtics,Randy Brown,,activated from IL
154,2000-11-28,Clippers,,Earl Boykins,placed on IL with bruised right knee
155,2000-11-28,Hawks,Dion Glover,,activated from IL
156,2000-11-29,Clippers,Brian Skinner,,activated from IL
157,2000-11-29,Pistons,Dana Barros,,activated from IL
158,2000-11-29,Spurs,,Samaki Walker,placed on IL with sprained ankle
159,2000-11-29,Spurs,Shawnelle Scott,,activated from IL
160,2000-11-30,Bulls,,A.J. Guyton,placed on IL with sprained right knee
161,2000-12-01,76ers,,Juan Sanchez,placed on IR with bursitis in left hip
162,2000-12-01,76ers,Todd MacCulloch,,activated from IL
163,2000-12-01,Bucks,,Michael Redd,placed on IL with sprained right ankle
164,2000-12-01,Bulls,Jake Voskuhl,,activated from IL
165,2000-12-01,Cavaliers,,Michael Hawkins,placed on IL with sprained left ankle
166,2000-12-01,Cavaliers,Brevin Knight,,activated from IL
167,2000-12-01,Timberwolves,,Reggie Slater,placed on IL with right knee tendinitis
168,2000-12-01,Timberwolves,Tom Hammonds,,activated from IL
169,2000-12-01,Warriors,,Adonal Foyle,placed on IR with ligament damage in right ring finger
170,2000-12-02,Bucks,Scott Williams,,activated from IL
171,2000-12-02,Celtics,,Chris Herren,placed on IR with bone spurs in right shoulder
172,2000-12-02,Nuggets,,Tariq Abdul-Wahad,placed on IR with peritonsillar abcess
173,2000-12-02,Nuggets,,Terry Davis,placed on IL with right Achilles tendinitis
174,2000-12-02,Nuggets,Ryan Bowen,,activated from IL
175,2000-12-02,Pacers,,Bruno Sundov,placed on IL with strained hamstring
176,2000-12-03,Celtics,Adrian Griffin,,activated from IL
177,2000-12-03,Pacers,Sam Perkins,,activated from IL
178,2000-12-04,Wizards,,Mitch Richmond,placed on IR with partially torn MCL in left knee
179,2000-12-04,Wizards,Laron Profit,,activated from IL
180,2000-12-05,Grizzlies,,Kevin Edwards,placed on IL with fractured left thumb
181,2000-12-05,Grizzlies,Michael Dickerson,,activated from IL
182,2000-12-05,Pistons,,John Wallace,placed on IL with knee injury
183,2000-12-05,Pistons,Billy Owens,,activated from IL
184,2000-12-05,Raptors,,Kornel David,placed on IL with back spasms
185,2000-12-05,Raptors,Garth Joseph,,activated from IL
186,2000-12-06,Pistons,Brian Cardinal,,activated from IL
187,2000-12-06,Warriors,,Chris Mullin,placed on IR with inflammation and cartilage damage in left knee
188,2000-12-06,Warriors,Vonteego Cummings,,activated from IL
189,2000-12-07,Mavericks,,Greg Buckner,placed on IL with sprained right foot
190,2000-12-07,Mavericks,Donnell Harvey,,activated from IL
191,2000-12-07,Suns,,Ruben Garces,placed on IL with sprained lower back
192,2000-12-07,Suns,Chris Dudley,,activated from IL
193,2000-12-08,Rockets,,Jason Collier,placed on IL with surgery on right knee
194,2000-12-08,Suns,,Iakovos Tsakalidis,placed on IR after dental surgery
195,2000-12-09,76ers,,Eric Snow,placed on IR with stress fracture of right ankle
196,2000-12-09,76ers,Juan Sanchez,,activated from IL
197,2000-12-09,Pistons,,Jerome Williams,placed on IL with sprained right ankle
198,2000-12-09,Pistons,Brian Cardinal,,activated from IL
199,2000-12-10,Celtics,,Chris Carr,placed on IL with sprained left ankle
200,2000-12-10,Celtics,Kenny Anderson,,activated from IL
201,2000-12-11,Magic,Grant Hill,,activated from IL
202,2000-12-12,Cavaliers,,Brevin Knight,placed on IL with sore right knee
203,2000-12-12,Cavaliers,Michael Hawkins,,activated from IL
204,2000-12-12,Hawks,,Chris Crawford,placed on IL with sprained left ankle and sore right big toe
205,2000-12-12,Hawks,Jim Jackson,,activated from IL
206,2000-12-12,Warriors,,Chris Mills,placed on IR with right ankle inflammation
207,2000-12-12,Warriors,Adonal Foyle,,activated from IL
208,2000-12-13,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
209,2000-12-13,Hornets,Otis Thorpe,,activated from IL
210,2000-12-13,Pacers,,Terry Mills,placed on IL with sprained right ankle
211,2000-12-13,Pacers,Bruno Sundov,,activated from IL
212,2000-12-13,Spurs,,Avery Johnson,placed on IL with bruised left quadriceps & sore left hamstring
213,2000-12-13,Spurs,,Shawnelle Scott,placed on IL with left patella tendinitis
214,2000-12-13,Spurs,Derrick Dial,,activated from IL
215,2000-12-13,Spurs,Samaki Walker,,activated from IL
216,2000-12-14,Raptors,,Garth Joseph,placed on IL with strained right groin
217,2000-12-14,Raptors,Kornel David,,activated from IL
218,2000-12-15,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
219,2000-12-15,Bulls,Bryce Drew,,activated from IL
220,2000-12-15,Cavaliers,,Chris Mihm,placed on IR with high right ankle sprain
221,2000-12-15,Cavaliers,J.R. Reid,,activated from IL
222,2000-12-15,Grizzlies,,Mahmoud Abdul-Rauf,placed on IL with back spasms
223,2000-12-15,Grizzlies,Kevin Edwards,,activated from IL
224,2000-12-15,Hawks,,Jim Jackson,placed on IL with sprained right knee
225,2000-12-15,Hawks,Roshown McLeod,,activated from IL
226,2000-12-15,Rockets,,Carlos Rogers,placed on IL with sprained left knee
227,2000-12-15,Rockets,Kelvin Cato,,activated from IL
228,2000-12-15,Timberwolves,,Todd Day,placed on IL with hyperextended left knee
229,2000-12-15,Timberwolves,Sam Jacobson,,activated from IL
230,2000-12-17,Mavericks,,Eduardo Najera,placed on IL with strained right groin
231,2000-12-17,Mavericks,Gary Trent,,activated from IL
232,2000-12-17,Pistons,,Jud Buechler,placed on IR with chip fracture in right ankle
233,2000-12-17,Pistons,John Wallace,,activated from IL
234,2000-12-18,76ers,Ademola Okulaja,,activated from IL
235,2000-12-18,Sonics,Olumide Oyedeji,,activated from IL
236,2000-12-19,Bulls,,Dalibor Bagaric,placed on IL with right knee tendinitis
237,2000-12-19,Bulls,Brad Miller,,activated from IL
238,2000-12-19,Celtics,Chris Carr,,activated from IL
239,2000-12-19,Hawks,,Alan Henderson,placed on IL with sprained left shoulder
240,2000-12-19,Hornets,Terrance Roberson,,activated from IL
241,2000-12-19,Lakers,,Devean George,placed on IR with sore throat & ear infection
242,2000-12-19,Lakers,Stanislav Medvedenko,,activated from IL
243,2000-12-19,Suns,,Mario Elie,placed on IL with broken left hand
244,2000-12-19,Suns,Ruben Garces,,activated from IL
245,2000-12-19,Timberwolves,,Tom Hammonds,placed on IR with bilateral synovitis
246,2000-12-19,Timberwolves,Reggie Slater,,activated from IL
247,2000-12-20,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
248,2000-12-20,Nuggets,,Tariq Abdul-Wahad,placed on IR with peritonsillar abcess in throat
249,2000-12-20,Nuggets,Calbert Cheaney,,activated from IL
250,2000-12-21,Hornets,,Eddie Robinson,placed on IR with bruised tailbone
251,2000-12-22,Heat,,Anthony Carter,placed on IL with strained right groin
252,2000-12-22,Heat,Dan Majerle,,activated from IL
253,2000-12-23,76ers,,Juan Sanchez,placed on IR with bursitis in left hip
254,2000-12-23,Blazers,,Erick Barkley,placed on IL with left knee tendinitis
255,2000-12-23,Blazers,Gary Grant,,activated from IL
256,2000-12-23,Cavaliers,,Wesley Person,placed on IR with sruised ulnar nerve in right elbow
257,2000-12-23,Cavaliers,Brevin Knight,,activated from IL
258,2000-12-25,Pacers,,Bruno Sundov,placed on IL with strained right groin
259,2000-12-25,Pacers,Tyus Edney,,activated from IL
260,2000-12-26,Cavaliers,,Zydrunas Ilgauskas,placed on IR with stress fracture of lavicular bone in left foot
261,2000-12-26,Cavaliers,Chris Mihm,,activated from IL
262,2000-12-26,Hawks,Jim Jackson,,activated from IL
263,2000-12-26,Hornets,Derrick Coleman,,activated from IL
264,2000-12-27,Magic,,Grant Hill,placed on IL with broken left ankle (out for season)
265,2000-12-27,Pistons,John Wallace,,activated from IL
266,2000-12-28,Celtics,,Jerome Moiso,placed on IL with sprained right ankle
267,2000-12-28,Celtics,Mark Blount,,activated from IL
268,2000-12-28,Pistons,,Brian Cardinal,placed on IL with tendinitis in both knees
269,2000-12-28,Pistons,Jerome Williams,,activated from IL
270,2000-12-28,Rockets,Carlos Rogers,,activated from IL
271,2000-12-29,Wizards,,Laron Profit,placed on IL with back spasms
272,2000-12-29,Wizards,Ronald Jones,,activated from IL
273,2000-12-30,Grizzlies,,Grant Long,placed on IR with broken right thumb
274,2000-12-30,Grizzlies,Mahmoud Abdul-Rauf,,activated from IL
275,2000-12-30,Suns,,Ruben Garces,placed on IR with bulging disc
276,2000-12-30,Suns,Iakovos Tsakalidis,,activated from IL
277,2000-12-31,Grizzlies,William Cunningham,,activated from IL
278,2001-01-01,Celtics,,Tony Battie,placed on IL with sprained left ankle
279,2001-01-02,Celtics,Walter McCarty,,activated from IL
280,2001-01-02,Grizzlies,Brent Price,,activated from IL
281,2001-01-02,Pacers,Terry Mills,,activated from IL
282,2001-01-03,Pacers,,Tyus Edney,placed on IL with sprained left ankle
283,2001-01-03,Pistons,,Jerome Williams,placed on IL with sprained right ankle
284,2001-01-03,Pistons,Jud Buechler,,activated from IL
285,2001-01-04,Heat,,Don MacLean,placed on IR with tendinitis in right / left (P) quadricep
286,2001-01-04,Heat,Anthony Carter,,activated from IL
287,2001-01-05,76ers,,Matt Geiger,placed on IL with sore right knee
288,2001-01-05,76ers,Juan Sanchez,,activated from IL
289,2001-01-05,Hornets,,Tim James,placed on IL with tendinitis in both knees
290,2001-01-05,Hornets,Eddie Robinson,,activated from IL
291,2001-01-05,Knicks,Pete Mickeal,,activated from IL
292,2001-01-05,Nets,,Soumaila Samake,placed on IL with left knee tendinitis
293,2001-01-05,Nets,Keith Van Horn,,activated from IL
294,2001-01-06,Hawks,Alan Henderson,,activated from IL
295,2001-01-07,Clippers,,Keyon Dooling,placed on IL with viral syndrome
296,2001-01-07,Clippers,Earl Boykins,,activated from IL
297,2001-01-07,Knicks,,Rick Brunson,placed on IL with plantar fasciatis in right foot
298,2001-01-07,Knicks,Charlie Ward,,activated from IL
299,2001-01-07,Suns,Anfernee Hardaway,,activated from IL
300,2001-01-07,Timberwolves,,Sam Jacobson,placed on IL with right knee patella tendinitis
301,2001-01-07,Timberwolves,Todd Day,,activated from IL
302,2001-01-08,Warriors,,Erick Dampier,placed on IL recovering from surgery on left knee
303,2001-01-08,Warriors,Chris Mullin,,activated from IL
304,2001-01-09,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
305,2001-01-09,Lakers,Tyronn Lue,,activated from IL
306,2001-01-09,Rockets,,Hakeem Olajuwon,placed on IR with swollen right knee
307,2001-01-09,Rockets,Jason Collier,,activated from IL
308,2001-01-09,Spurs,,Sean Elliott,placed on IR with small tear in right rotator cuff
309,2001-01-09,Spurs,Jaren Jackson Sr.,,activated from IL
310,2001-01-10,Celtics,,Adrian Griffin,placed on IL with sore lower back
311,2001-01-10,Celtics,Jerome Moiso,,activated from IL
312,2001-01-10,Kings,,Lawrence Funderburke,placed on IL with strained right knee
313,2001-01-12,Kings,Jabari Smith,,activated from IL
314,2001-01-12,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
315,2001-01-12,Nuggets,Mamadou N'diaye,,activated from IL
316,2001-01-13,Hawks,Chris Crawford,,activated from IL
317,2001-01-14,Suns,,Daniel Santiago,placed on IL with plantar fasciatis in left foot
318,2001-01-14,Suns,Mario Elie,,activated from IL
319,2001-01-15,Clippers,,Corey Maggette,placed on IR with mild concussion
320,2001-01-15,Clippers,Keyon Dooling,,activated from IL
321,2001-01-15,Nuggets,,Aleksandar Radojevic,placed on IL recovering from back surgery
322,2001-01-15,Nuggets,Tariq Abdul-Wahad,,activated from IL
323,2001-01-16,Suns,,Anfernee Hardaway,placed on IL with acute inflammation of soft tissue and soreness in left knee
324,2001-01-17,Hawks,,Matt Maloney,placed on IR with a strained right hand
325,2001-01-17,Wizards,,Obinna Ekezie,placed on IL with back spasms
326,2001-01-17,Wizards,Laron Profit,,activated from IL
327,2001-01-18,Bulls,,Michael Ruffin,placed on IR with broken finger on right hand (out 2 months)
328,2001-01-18,Bulls,Dalibor Bagaric,,activated from IL
329,2001-01-18,Sonics,,Ruben Wolkowyski,placed on IR with strained back
330,2001-01-19,Grizzlies,,Kevin Edwards,placed on IL with right Achilles tendinitis
331,2001-01-19,Grizzlies,Grant Long,,activated from IL
332,2001-01-19,Knicks,,Lavor Postell,placed on IL with strained lower back
333,2001-01-19,Knicks,Felton Spencer,,activated from IL
334,2001-01-19,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
335,2001-01-19,Lakers,Devean George,,activated from IL
336,2001-01-21,Kings,,Jabari Smith,placed on IL with right knee tendinitis
337,2001-01-21,Kings,Lawrence Funderburke,,activated from IL
338,2001-01-22,Blazers,,Gary Grant,placed on IR with right knee effusion (soreness)
339,2001-01-22,Blazers,Erick Barkley,,activated from IL
340,2001-01-22,Cavaliers,,Matt Harpring,placed on IR recovering from left ankle surgery
341,2001-01-22,Cavaliers,Vernell Coles,,activated from IL
342,2001-01-23,Jazz,,Quincy Lewis,placed on IL with right knee tendinitis
343,2001-01-23,Jazz,John Crotty,,activated from IL
344,2001-01-23,Nets,,Jim McIlvaine,placed on IL with strained right calf and partially torn Achilles tendon (out 4-6 weeks)
345,2001-01-23,Nets,Soumaila Samake,,activated from IL
346,2001-01-23,Nuggets,,Garth Joseph,placed on IL with strained left groin
347,2001-01-23,Nuggets,Calbert Cheaney,,activated from IL
348,2001-01-23,Raptors,,Mamadou N'diaye,placed on IL with strained right groin
349,2001-01-23,Raptors,Tyrone Bogues,,activated from IL
350,2001-01-24,Pistons,,Eric Montross,placed on IL with hyperextended left elbow
351,2001-01-24,Pistons,Jerome Williams,,activated from IL
352,2001-01-24,Rockets,,Kelvin Cato,placed on IL with partially torn left rotator cuff
353,2001-01-24,Rockets,Hakeem Olajuwon,,activated from IL
354,2001-01-24,Suns,,Tom Gugliotta,placed on IL with sore left knee
355,2001-01-24,Suns,Daniel Santiago,,activated from IL
356,2001-01-25,Blazers,,Scottie Pippen,placed on IR with right elbow tendinitis
357,2001-01-25,Blazers,Antonio Harvey,,activated from IL
358,2001-01-25,Jazz,,David Benoit,placed on IR with strained right deltoid muscle
359,2001-01-25,Jazz,Scott Padgett,,activated from IL
360,2001-01-25,Mavericks,,Donnell Harvey,placed on IR with right elbow tendinitis
361,2001-01-25,Mavericks,Greg Buckner,,activated from IL
362,2001-01-25,Spurs,,Ira Newble,placed on IL with sprained right wrist
363,2001-01-25,Spurs,Shawnelle Scott,,activated from IL
364,2001-01-25,Wizards,,Laron Profit,placed on IL with back spasms
365,2001-01-25,Wizards,Mitch Richmond,,activated from IL
366,2001-01-26,Hawks,,Brevin Knight,placed on IL with strained right groin
367,2001-01-26,Hornets,,Eldridge Recasner,placed on IR with bronchitis
368,2001-01-27,Nuggets,Calbert Cheaney,,activated from IL
369,2001-01-29,Clippers,,Earl Boykins,placed on IL with plantar fasciatis in left foot
370,2001-01-29,Clippers,Corey Maggette,,activated from IL
371,2001-01-29,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
372,2001-01-29,Sonics,Ruben Wolkowyski,,activated from IL
373,2001-01-30,Heat,,Todd Fuller,placed on IL with left knee patella tendinitis
374,2001-01-30,Heat,Don MacLean,,activated from IL
375,2001-01-30,Pacers,,Sam Perkins,placed on IL with sprained neck
376,2001-01-30,Pacers,Bruno Sundov,,activated from IL
377,2001-02-01,Blazers,,Antonio Harvey,placed on IL with sore right knee
378,2001-02-01,Blazers,Detlef Schrempf,,activated from IL
379,2001-02-01,Knicks,,Felton Spencer,placed on IL with sore right knee
380,2001-02-01,Knicks,Lavor Postell,,activated from IL
381,2001-02-01,Suns,Tom Gugliotta,,activated from IL
382,2001-02-02,Hawks,Brevin Knight,,activated from IL
383,2001-02-02,Pistons,,Billy Owens,placed on IL with back spasms
384,2001-02-02,Pistons,Eric Montross,,activated from IL
385,2001-02-03,Raptors,,Tyrone Bogues,placed on IL with sore right knee
386,2001-02-03,Raptors,Mamadou N'diaye,,activated from IL
387,2001-02-05,Hawks,Matt Maloney,,activated from IL
388,2001-02-05,Hornets,Eldridge Recasner,,activated from IL
389,2001-02-06,Kings,,Jon Barry,placed on IL with broken left hand (out 4-6 weeks)
390,2001-02-07,Kings,Jabari Smith,,activated from IL
391,2001-02-08,Hornets,,Lee Nailon,placed on IL with lower back spasms
392,2001-02-08,Hornets,Tim James,,activated from IL
393,2001-02-08,Nets,Jamie Feick,,activated from IL
394,2001-02-08,Spurs,,Shawnelle Scott,placed on IR with tendinitis
395,2001-02-08,Spurs,Avery Johnson,,activated from IL
396,2001-02-13,76ers,,Juan Sanchez,placed on IR with strained back
397,2001-02-13,76ers,,Theo Ratliff,placed on IL with fractured right wrist
398,2001-02-13,76ers,Eric Snow,,activated from IL
