Date,Team,Acquired,Relinquished,Notes
10/30/2000,76ers,,Ademola Okulaja,placed on IR with strained back
10/30/2000,76ers,,Craig Claxton / Speedy Claxton,placed on IL with torn ACL in left knee (out for season)
10/30/2000,76ers,,Matt Geiger,placed on IR with recovery from left knee surgery
10/30/2000,Blazers,,Arvydas Sabonis,placed on IR with recovery from left knee surgery
10/30/2000,Blazers,,Detlef Schrempf,placed on IR with pinched nerve in neck (player had not officially submitted retirement papers)
10/30/2000,Blazers,,Gary Grant,placed on IL with sore right knee
10/30/2000,Bucks,,Jason Hart,placed on IL with lower back spasms
10/30/2000,Bucks,,Mark Pope,placed on IL with back spasms
10/30/2000,Bulls,,Corey Benjamin,placed on IL with sore left shoulder / right shoulder tendinitis (per Bulls media guide)
10/30/2000,Bulls,,Dalibor Bagaric,placed on IL with sore right knee
10/30/2000,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
10/30/2000,Cavaliers,,Brevin Knight,placed on IR with surgery on right patella
10/30/2000,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
10/30/2000,Cavaliers,,Mark Bryant,placed on IL with patellar tendinitis in both knees
10/30/2000,Celtics,,Chris Herren,placed on IL with sprained left ankle
10/30/2000,Celtics,,Greg Minor,placed on IR with fractured right hip
10/30/2000,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
10/30/2000,Clippers,,Earl Boykins,placed on IL with bruised right knee
10/30/2000,Clippers,,Zendon Hamilton,placed on IL with strained lower back
10/30/2000,Grizzlies,,Brent Price,placed on IL with right knee inflammation
10/30/2000,Grizzlies,,Doug West,placed on IL with strained right shoulder
10/30/2000,Grizzlies,,William Cunningham,placed on IL with right knee tendinitis
10/30/2000,Hawks,,Cal Bowdler,placed on IL with sprained MCL in right knee
10/30/2000,Hawks,,Dikembe Mutombo,placed on IR with malaria
10/30/2000,Hawks,,Dion Glover,placed on IR with a stress fracture in left foot
10/30/2000,Heat,,Alonzo Mourning,placed on IL with kidney disorder
10/30/2000,Heat,,Harold Jamison,placed on IR with bruised knee & calf
10/30/2000,Heat,,Ricky Davis,placed on IL with stress fracture in right foot
10/30/2000,Hornets,,Lee Nailon,placed on IL with right ankle tendinitis (right knee tendinitis per E)
10/30/2000,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
10/30/2000,Jazz,,John Crotty,placed on IR with recovery from right knee surgery
10/30/2000,Jazz,,Scott Padgett,placed on IL with left knee tendinitis
10/30/2000,Kings,,Jabari Smith,placed on IL with patella tendinitis
10/30/2000,Knicks,,Jonathan Kerner,placed on IL with right knee patella tendinitis
10/30/2000,Knicks,,Luc Longley,"placed on IR with chondromalacia, right knee"
10/30/2000,Knicks,,Pete Mickeal,placed on IL with lower back pain
10/30/2000,Lakers,,Derek Fisher,placed on IL with stress fracture in right foot
10/30/2000,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
10/30/2000,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
10/30/2000,Magic,,Dee Brown (a),placed on IR with ruptured tendon in left (right?) knee
10/30/2000,Mavericks,,Donnell Harvey,placed on IR with bruised elbow
10/30/2000,Mavericks,,Etan Thomas,placed on IL with sprained big toe
10/30/2000,Mavericks,,Gary Trent,placed on IR with strained left abductor muscle
10/30/2000,Nets,,Jamie Feick,placed on IL with left Achilles tendon injury
10/30/2000,Nets,,Keith Van Horn,placed on IL with broken left leg
10/30/2000,Nets,,Kerry Kittles,placed on IL with right knee surgery
10/30/2000,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
10/30/2000,Nuggets,,Mamadou N'diaye,placed on IL with strained groin
10/30/2000,Nuggets,,Ryan Bowen,placed on IL with sprained left ankle
10/30/2000,Pacers,,Bruno Sundov,placed on IL with sprained left ankle
10/30/2000,Pacers,,Lari Ketner,placed on IL with left patella tendinitis
10/30/2000,Pacers,,Terry Mills,placed on IR with degenerative arthritis in left knee
10/30/2000,Pistons,,Brian Cardinal,placed on IL with patellar tendinitis in both knees
10/30/2000,Pistons,,Dana Barros,placed on IL with strained lower back
10/30/2000,Pistons,,Torraye Braggs,placed on IL with strained right elbow
10/30/2000,Raptors,,Aleksandar Radojevic,placed on IR with recovery from back surgery
10/30/2000,Raptors,,Garth Joseph,placed on IR with strained rib cage muscles
10/30/2000,Raptors,,Michael Stewart,placed on IL recovering from surgery on knee
10/30/2000,Rockets,,Dan Langhi,placed on IL with bilateral medial tibial periositis (shin splints)
10/30/2000,Sonics,,David Wingate,placed on IL with sore left knee
10/30/2000,Sonics,,Olumide Oyedeji,placed on IL with sprained right ankle
10/30/2000,Spurs,,Derrick Dial,placed on IR with left shoulder impingement
10/30/2000,Spurs,,Ira Newble,placed on IR with plantar fasciaitis in left foot
10/30/2000,Spurs,,Shawnelle Scott,placed on IL with left patella tendinitis
10/30/2000,Suns,,Anfernee Hardaway / Penny Hardaway,placed on IL with left knee injury
10/30/2000,Suns,,Rex Chapman,placed on IR with thumb & knee injuries
10/30/2000,Suns,,Tom Gugliotta,placed on IL with torn ACL in left knee
10/30/2000,Timberwolves,,Andrae Patterson,placed on IL with right knee injury
10/30/2000,Timberwolves,,Todd Day,placed on IL with hyperextended left knee
10/30/2000,Timberwolves,,Tom Hammonds,placed on IR with sore ankle (knee injury per ESPN)
10/30/2000,Warriors,,Bob Sura,placed on IL with herniated disc in back
10/30/2000,Warriors,,Chris Mullin,placed on IL with strained lower back
10/30/2000,Wizards,,Calvin Booth,placed on IL with strained right hamstring
10/30/2000,Wizards,,Laron Profit,placed on IL with back spasms
10/30/2000,Wizards,,Mike Smith (b),placed on IL with left patella tendinitis
10/31/2000,Heat,,Dan Majerle,placed on IL with strained left hamstring
11/2/2000,Magic,,Andrew DeClercq,placed on IL with strained left hamstring
11/5/2000,Celtics,,Kenny Anderson,placed on IR with facial injury / broken jaw
11/5/2000,Magic,,Grant Hill,placed on IL with sore left ankle
11/6/2000,Celtics,Greg Minor,,activated from IL
11/8/2000,Hawks,Dikembe Mutombo,,activated from IL
11/8/2000,Rockets,Dan Langhi,,activated from IL
11/8/2000,Wizards,,Ronald Jones / Popeye Jones,placed on IL with fractured left index finger
11/8/2000,Wizards,Calvin Booth,,activated from IL
11/9/2000,Rockets,,Kelvin Cato,placed on IL with sprained left ankle
11/10/2000,Bucks,,Darvin Ham,placed on IR recovering from left foot surgery
11/10/2000,Bucks,Mark Pope,,activated from IL
11/10/2000,Celtics,,Jerome Moiso,placed on IL with strained right ankle
11/10/2000,Celtics,,Randy Brown,placed on IL with groin injury
11/10/2000,Celtics,Chris Herren,,activated from IL
11/10/2000,Raptors,,Tyrone Bogues / Muggsy Bogues,placed on IL recovering from surgery on right knee
11/10/2000,Raptors,Garth Joseph,,activated from IL
11/10/2000,Warriors,Chris Mullin,,activated from IL
11/11/2000,Bulls,,Brad Miller,placed on IL with broken right hand
11/11/2000,Bulls,,Bryce Drew,placed on IL with strained left hamstring
11/11/2000,Bulls,Corey Benjamin,,activated from IL
11/11/2000,Bulls,Jake Voskuhl,,activated from IL
11/11/2000,Celtics,,Adrian Griffin,placed on IL with lower back spasms
11/11/2000,Celtics,Walter McCarty,,activated from IL
11/11/2000,Lakers,,Tyronn Lue,placed on IL with sprained right ankle
11/11/2000,Warriors,,Vonteego Cummings,placed on IR with fractured right cheekbone
11/12/2000,Lakers,Mike Penberthy,,activated from IL
11/12/2000,Magic,Andrew DeClercq,,activated from IL
11/14/2000,Blazers,,Antonio Harvey,placed on IL with sore right knee
11/14/2000,Blazers,Arvydas Sabonis,,activated from IL
11/14/2000,Cavaliers,,Wesley Person,placed on IL with bruised right elbow
11/14/2000,Cavaliers,J.R. Reid,,activated from IL
11/14/2000,Hawks,,Roshown McLeod,placed on IR with adjustment disorder due to death of mother
11/14/2000,Hawks,Cal Bowdler,,activated from IL
11/15/2000,Cavaliers,Mark Bryant,,activated from IL
11/15/2000,Warriors,,Danny Fortson,placed on IR with sore right foot
11/16/2000,Hornets,,Otis Thorpe,placed on IL with strained left foot
11/16/2000,Hornets,Lee Nailon,,activated from IL
11/17/2000,Bucks,,Scott Williams,placed on IL with lower back spasms
11/17/2000,Suns,,Chris Dudley,placed on IL with sprained left ankle
11/17/2000,Suns,Tom Gugliotta,,activated from IL
11/17/2000,Timberwolves,,Sam Jacobson,placed on IL with left knee patella tendinitis
11/17/2000,Timberwolves,Todd Day,,activated from IL
11/18/2000,Clippers,,Brian Skinner,placed on IL with sprained right ankle
11/18/2000,Clippers,Zendon Hamilton,,activated from IL
11/18/2000,Hornets,,Derrick Coleman,placed on IR with poor conditioning / heart medication
11/18/2000,Hornets,Terrance Roberson,,activated from IL
11/18/2000,Raptors,,Garth Joseph,placed on IL with bruised ribs
11/18/2000,Raptors,Michael Stewart,,activated from IL
11/18/2000,Sonics,Olumide Oyedeji,,activated from IL
11/20/2000,76ers,,Todd MacCulloch,placed on IL with left ankle tendinitis
11/20/2000,76ers,Matt Geiger,,activated from IL
11/20/2000,Clippers,,Zendon Hamilton,placed on IL with strained lower back
11/20/2000,Clippers,Earl Boykins,,activated from IL
11/20/2000,Grizzlies,,Michael Dickerson,placed on IL with sprained left ankle
11/20/2000,Grizzlies,Doug West,,activated from IL
11/20/2000,Pistons,,Billy Owens,placed on IL with back spasms
11/20/2000,Pistons,Torraye Braggs,,activated from IL
11/21/2000,Bulls,,Jake Voskuhl,placed on IL with strained right hip flexor
11/21/2000,Bulls,Dalibor Bagaric,,activated from IL
11/21/2000,Pacers,,Tyus Edney,placed on IL with plantar fasciatis in left foot
11/21/2000,Pacers,Bruno Sundov,,activated from IL
11/21/2000,Warriors,Bob Sura,,activated from IL
11/22/2000,Cavaliers,,Vernell Coles / Bimbo Coles,placed on IL with left knee inflammation
11/22/2000,Celtics,,Adrian Griffin,placed on IL with sore lower back
11/22/2000,Celtics,Jerome Moiso,,activated from IL
11/22/2000,Pacers,,Sam Perkins,placed on IL with back spasms
11/22/2000,Spurs,,Jaren Jackson Sr.,placed on IL with sprained left ankle
11/22/2000,Spurs,Ira Newble,,activated from IL
11/23/2000,Pacers,Terry Mills,,activated from IL
11/24/2000,Hawks,,Jim Jackson,placed on IL with sprained MCL in right knee
11/24/2000,Knicks,,Felton Spencer,placed on IL with sprained right knee
11/24/2000,Knicks,Luc Longley,,activated from IL
11/27/2000,Knicks,,Charlie Ward,placed on IR recovering from surgery on right knee
11/27/2000,Knicks,Jonathan Kerner,,activated from IL
11/28/2000,Cavaliers,,J.R. Reid,placed on IL with patellar tendinitis in both knees
11/28/2000,Cavaliers,Wesley Person,,activated from IL
11/28/2000,Celtics,,Mark Blount,placed on IL with sprained right ankle
11/28/2000,Celtics,Randy Brown,,activated from IL
11/28/2000,Clippers,,Earl Boykins,placed on IL with bruised right knee
11/28/2000,Hawks,Dion Glover,,activated from IL
11/29/2000,Clippers,Brian Skinner,,activated from IL
11/29/2000,Pistons,Dana Barros,,activated from IL
11/29/2000,Spurs,,Samaki Walker,placed on IL with sprained ankle
11/29/2000,Spurs,Shawnelle Scott,,activated from IL
11/30/2000,Bulls,,A.J. Guyton,placed on IL with sprained right knee
12/1/2000,76ers,,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
12/1/2000,76ers,Todd MacCulloch,,activated from IL
12/1/2000,Bucks,,Michael Redd,placed on IL with sprained right ankle
12/1/2000,Bulls,Jake Voskuhl,,activated from IL
12/1/2000,Cavaliers,,Michael Hawkins,placed on IL with sprained left ankle
12/1/2000,Cavaliers,Brevin Knight,,activated from IL
12/1/2000,Timberwolves,,Reggie Slater,placed on IL with right knee tendinitis
12/1/2000,Timberwolves,Tom Hammonds,,activated from IL
12/1/2000,Warriors,,Adonal Foyle,placed on IR with ligament damage in right ring finger
12/2/2000,Bucks,Scott Williams,,activated from IL
12/2/2000,Celtics,,Chris Herren,placed on IR with bone spurs in right shoulder
12/2/2000,Nuggets,,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess
12/2/2000,Nuggets,,Terry Davis,placed on IL with right Achilles tendinitis
12/2/2000,Nuggets,Ryan Bowen,,activated from IL
12/2/2000,Pacers,,Bruno Sundov,placed on IL with strained hamstring
12/3/2000,Celtics,Adrian Griffin,,activated from IL
12/3/2000,Pacers,Sam Perkins,,activated from IL
12/4/2000,Wizards,,Mitch Richmond,placed on IR with partially torn MCL in left knee
12/4/2000,Wizards,Laron Profit,,activated from IL
12/5/2000,Grizzlies,,Kevin Edwards,placed on IL with fractured left thumb
12/5/2000,Grizzlies,Michael Dickerson,,activated from IL
12/5/2000,Pistons,,John Wallace,placed on IL with knee injury
12/5/2000,Pistons,Billy Owens,,activated from IL
12/5/2000,Raptors,,Kornel David,placed on IL with back spasms
12/5/2000,Raptors,Garth Joseph,,activated from IL
12/6/2000,Pistons,Brian Cardinal,,activated from IL
12/6/2000,Warriors,,Chris Mullin,placed on IR with inflammation and cartilage damage in left knee
12/6/2000,Warriors,Vonteego Cummings,,activated from IL
12/7/2000,Mavericks,,Greg Buckner,placed on IL with sprained right foot
12/7/2000,Mavericks,Donnell Harvey,,activated from IL
12/7/2000,Suns,,Ruben Garces,placed on IL with sprained lower back
12/7/2000,Suns,Chris Dudley,,activated from IL
12/8/2000,Rockets,,Jason Collier,placed on IL with surgery on right knee
12/8/2000,Suns,,Iakovos Tsakalidis / Jake Tsakalidis,placed on IR after dental surgery
12/9/2000,76ers,,Eric Snow,placed on IR with stress fracture of right ankle
12/9/2000,76ers,Juan Sanchez / Pepe Sanchez,,activated from IL
12/9/2000,Pistons,,Jerome Williams,placed on IL with sprained right ankle
12/9/2000,Pistons,Brian Cardinal,,activated from IL
12/10/2000,Celtics,,Chris Carr (Dean),placed on IL with sprained left ankle
12/10/2000,Celtics,Kenny Anderson,,activated from IL
12/11/2000,Magic,Grant Hill,,activated from IL
12/12/2000,Cavaliers,,Brevin Knight,placed on IL with sore right knee
12/12/2000,Cavaliers,Michael Hawkins,,activated from IL
12/12/2000,Hawks,,Chris Crawford (Lee),placed on IL with sprained left ankle and sore right big toe
12/12/2000,Hawks,Jim Jackson,,activated from IL
12/12/2000,Warriors,,Chris Mills,placed on IR with right ankle inflammation
12/12/2000,Warriors,Adonal Foyle,,activated from IL
12/13/2000,Hornets,,Terrance Roberson,placed on IL with right knee tendinitis
12/13/2000,Hornets,Otis Thorpe,,activated from IL
12/13/2000,Pacers,,Terry Mills,placed on IL with sprained right ankle
12/13/2000,Pacers,Bruno Sundov,,activated from IL
12/13/2000,Spurs,,Avery Johnson,placed on IL with bruised left quadriceps & sore left hamstring
12/13/2000,Spurs,,Shawnelle Scott,placed on IL with left patella tendinitis
12/13/2000,Spurs,Derrick Dial,,activated from IL
12/13/2000,Spurs,Samaki Walker,,activated from IL
12/14/2000,Raptors,,Garth Joseph,placed on IL with strained right groin
12/14/2000,Raptors,Kornel David,,activated from IL
12/15/2000,Bulls,,Jake Voskuhl,placed on IL with left foot tendinitis
12/15/2000,Bulls,Bryce Drew,,activated from IL
12/15/2000,Cavaliers,,Chris Mihm,placed on IR with high right ankle sprain
12/15/2000,Cavaliers,J.R. Reid,,activated from IL
12/15/2000,Grizzlies,,Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with back spasms
12/15/2000,Grizzlies,Kevin Edwards,,activated from IL
12/15/2000,Hawks,,Jim Jackson,placed on IL with sprained right knee
12/15/2000,Hawks,Roshown McLeod,,activated from IL
12/15/2000,Rockets,,Carlos Rogers,placed on IL with sprained left knee
12/15/2000,Rockets,Kelvin Cato,,activated from IL
12/15/2000,Timberwolves,,Todd Day,placed on IL with hyperextended left knee
12/15/2000,Timberwolves,Sam Jacobson,,activated from IL
12/17/2000,Mavericks,,Eduardo Najera,placed on IL with strained right groin
12/17/2000,Mavericks,Gary Trent,,activated from IL
12/17/2000,Pistons,,Jud Buechler,placed on IR with chip fracture in right ankle
12/17/2000,Pistons,John Wallace,,activated from IL
12/18/2000,76ers,Ademola Okulaja,,activated from IL
12/18/2000,Sonics,Olumide Oyedeji,,activated from IL
12/19/2000,Bulls,,Dalibor Bagaric,placed on IL with right knee tendinitis
12/19/2000,Bulls,Brad Miller,,activated from IL
12/19/2000,Celtics,Chris Carr (Dean),,activated from IL
12/19/2000,Hawks,,Alan Henderson,placed on IL with sprained left shoulder
12/19/2000,Hornets,Terrance Roberson,,activated from IL
12/19/2000,Lakers,,Devean George,placed on IR with sore throat & ear infection
12/19/2000,Lakers,Stanislav Medvedenko,,activated from IL
12/19/2000,Suns,,Mario Elie,placed on IL with broken left hand
12/19/2000,Suns,Ruben Garces,,activated from IL
12/19/2000,Timberwolves,,Tom Hammonds,placed on IR with bilateral synovitis
12/19/2000,Timberwolves,Reggie Slater,,activated from IL
12/20/2000,Celtics,,Walter McCarty,placed on IL with right knee tendinitis
12/20/2000,Nuggets,,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IR with peritonsillar abcess in throat
12/20/2000,Nuggets,Calbert Cheaney,,activated from IL
12/21/2000,Hornets,,Eddie Robinson,placed on IR with bruised tailbone
12/22/2000,Heat,,Anthony Carter,placed on IL with strained right groin
12/22/2000,Heat,Dan Majerle,,activated from IL
12/23/2000,76ers,,Juan Sanchez / Pepe Sanchez,placed on IR with bursitis in left hip
12/23/2000,Blazers,,Erick Barkley,placed on IL with left knee tendinitis
12/23/2000,Blazers,Gary Grant,,activated from IL
12/23/2000,Cavaliers,,Wesley Person,placed on IR with sruised ulnar nerve in right elbow
12/23/2000,Cavaliers,Brevin Knight,,activated from IL
12/25/2000,Pacers,,Bruno Sundov,placed on IL with strained right groin
12/25/2000,Pacers,Tyus Edney,,activated from IL
12/26/2000,Cavaliers,,Zydrunas Ilgauskas,placed on IR with stress fracture of lavicular bone in left foot
12/26/2000,Cavaliers,Chris Mihm,,activated from IL
12/26/2000,Hawks,Jim Jackson,,activated from IL
12/26/2000,Hornets,Derrick Coleman,,activated from IL
12/27/2000,Magic,,Grant Hill,placed on IL with broken left ankle (out for season)
12/27/2000,Pistons,John Wallace,,activated from IL
12/28/2000,Celtics,,Jerome Moiso,placed on IL with sprained right ankle
12/28/2000,Celtics,Mark Blount,,activated from IL
12/28/2000,Pistons,,Brian Cardinal,placed on IL with tendinitis in both knees
12/28/2000,Pistons,Jerome Williams,,activated from IL
12/28/2000,Rockets,Carlos Rogers,,activated from IL
12/29/2000,Wizards,,Laron Profit,placed on IL with back spasms
12/29/2000,Wizards,Ronald Jones / Popeye Jones,,activated from IL
12/30/2000,Grizzlies,,Grant Long,placed on IR with broken right thumb
12/30/2000,Grizzlies,Mahmoud Abdul-Rauf / Chris Jackson,,activated from IL
12/30/2000,Suns,,Ruben Garces,placed on IR with bulging disc
12/30/2000,Suns,Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
12/31/2000,Grizzlies,William Cunningham,,activated from IL
1/1/2001,Celtics,,Tony Battie,placed on IL with sprained left ankle
1/2/2001,Celtics,Walter McCarty,,activated from IL
1/2/2001,Grizzlies,Brent Price,,activated from IL
1/2/2001,Pacers,Terry Mills,,activated from IL
1/3/2001,Pacers,,Tyus Edney,placed on IL with sprained left ankle
1/3/2001,Pistons,,Jerome Williams,placed on IL with sprained right ankle
1/3/2001,Pistons,Jud Buechler,,activated from IL
1/4/2001,Heat,,Don MacLean,placed on IR with tendinitis in right / left (P) quadricep
1/4/2001,Heat,Anthony Carter,,activated from IL
1/5/2001,76ers,,Matt Geiger,placed on IL with sore right knee
1/5/2001,76ers,Juan Sanchez / Pepe Sanchez,,activated from IL
1/5/2001,Hornets,,Tim James,placed on IL with tendinitis in both knees
1/5/2001,Hornets,Eddie Robinson,,activated from IL
1/5/2001,Knicks,Pete Mickeal,,activated from IL
1/5/2001,Nets,,Soumaila Samake,placed on IL with left knee tendinitis
1/5/2001,Nets,Keith Van Horn,,activated from IL
1/6/2001,Hawks,Alan Henderson,,activated from IL
1/7/2001,Clippers,,Keyon Dooling,placed on IL with viral syndrome
1/7/2001,Clippers,Earl Boykins,,activated from IL
1/7/2001,Knicks,,Rick Brunson,placed on IL with plantar fasciatis in right foot
1/7/2001,Knicks,Charlie Ward,,activated from IL
1/7/2001,Suns,Anfernee Hardaway / Penny Hardaway,,activated from IL
1/7/2001,Timberwolves,,Sam Jacobson,placed on IL with right knee patella tendinitis
1/7/2001,Timberwolves,Todd Day,,activated from IL
1/8/2001,Warriors,,Erick Dampier,placed on IL recovering from surgery on left knee
1/8/2001,Warriors,Chris Mullin,,activated from IL
1/9/2001,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
1/9/2001,Lakers,Tyronn Lue,,activated from IL
1/9/2001,Rockets,,Hakeem Olajuwon,placed on IR with swollen right knee
1/9/2001,Rockets,Jason Collier,,activated from IL
1/9/2001,Spurs,,Sean Elliott,placed on IR with small tear in right rotator cuff
1/9/2001,Spurs,Jaren Jackson Sr.,,activated from IL
1/10/2001,Celtics,,Adrian Griffin,placed on IL with sore lower back
1/10/2001,Celtics,Jerome Moiso,,activated from IL
1/10/2001,Kings,,Lawrence Funderburke,placed on IL with strained right knee
1/12/2001,Kings,Jabari Smith,,activated from IL
1/12/2001,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
1/12/2001,Nuggets,Mamadou N'diaye,,activated from IL
1/13/2001,Hawks,Chris Crawford (Lee),,activated from IL
1/14/2001,Suns,,Daniel Santiago,placed on IL with plantar fasciatis in left foot
1/14/2001,Suns,Mario Elie,,activated from IL
1/15/2001,Clippers,,Corey Maggette,placed on IR with mild concussion
1/15/2001,Clippers,Keyon Dooling,,activated from IL
1/15/2001,Nuggets,,Aleksandar Radojevic,placed on IL recovering from back surgery
1/15/2001,Nuggets,Tariq Abdul-Wahad / Olivier Saint-Jean,,activated from IL
1/16/2001,Suns,,Anfernee Hardaway / Penny Hardaway,placed on IL with acute inflammation of soft tissue and soreness in left knee
1/17/2001,Hawks,,Matt Maloney,placed on IR with a strained right hand
1/17/2001,Wizards,,Obinna Ekezie,placed on IL with back spasms
1/17/2001,Wizards,Laron Profit,,activated from IL
1/18/2001,Bulls,,Michael Ruffin,placed on IR with broken finger on right hand (out 2 months)
1/18/2001,Bulls,Dalibor Bagaric,,activated from IL
1/18/2001,Sonics,,Ruben Wolkowyski,placed on IR with strained back
1/19/2001,Grizzlies,,Kevin Edwards,placed on IL with right Achilles tendinitis
1/19/2001,Grizzlies,Grant Long,,activated from IL
1/19/2001,Knicks,,Lavor Postell,placed on IL with strained lower back
1/19/2001,Knicks,Felton Spencer,,activated from IL
1/19/2001,Lakers,,Stanislav Medvedenko,placed on IL with right knee tendinitis
1/19/2001,Lakers,Devean George,,activated from IL
1/21/2001,Kings,,Jabari Smith,placed on IL with right knee tendinitis
1/21/2001,Kings,Lawrence Funderburke,,activated from IL
1/22/2001,Blazers,,Gary Grant,placed on IR with right knee effusion (soreness)
1/22/2001,Blazers,Erick Barkley,,activated from IL
1/22/2001,Cavaliers,,Matt Harpring,placed on IR recovering from left ankle surgery
1/22/2001,Cavaliers,Vernell Coles / Bimbo Coles,,activated from IL
1/23/2001,Jazz,,Quincy Lewis,placed on IL with right knee tendinitis
1/23/2001,Jazz,John Crotty,,activated from IL
1/23/2001,Nets,,Jim McIlvaine,placed on IL with strained right calf and partially torn Achilles tendon (out 4-6 weeks)
1/23/2001,Nets,Soumaila Samake,,activated from IL
1/23/2001,Nuggets,,Garth Joseph,placed on IL with strained left groin
1/23/2001,Nuggets,Calbert Cheaney,,activated from IL
1/23/2001,Raptors,,Mamadou N'diaye,placed on IL with strained right groin
1/23/2001,Raptors,Tyrone Bogues / Muggsy Bogues,,activated from IL
1/24/2001,Pistons,,Eric Montross,placed on IL with hyperextended left elbow
1/24/2001,Pistons,Jerome Williams,,activated from IL
1/24/2001,Rockets,,Kelvin Cato,placed on IL with partially torn left rotator cuff
1/24/2001,Rockets,Hakeem Olajuwon,,activated from IL
1/24/2001,Suns,,Tom Gugliotta,placed on IL with sore left knee
1/24/2001,Suns,Daniel Santiago,,activated from IL
1/25/2001,Blazers,,Scottie Pippen,placed on IR with right elbow tendinitis
1/25/2001,Blazers,Antonio Harvey,,activated from IL
1/25/2001,Jazz,,David Benoit,placed on IR with strained right deltoid muscle
1/25/2001,Jazz,Scott Padgett,,activated from IL
1/25/2001,Mavericks,,Donnell Harvey,placed on IR with right elbow tendinitis
1/25/2001,Mavericks,Greg Buckner,,activated from IL
1/25/2001,Spurs,,Ira Newble,placed on IL with sprained right wrist
1/25/2001,Spurs,Shawnelle Scott,,activated from IL
1/25/2001,Wizards,,Laron Profit,placed on IL with back spasms
1/25/2001,Wizards,Mitch Richmond,,activated from IL
1/26/2001,Hawks,,Brevin Knight,placed on IL with strained right groin
1/26/2001,Hornets,,Eldridge Recasner,placed on IR with bronchitis
1/27/2001,Nuggets,Calbert Cheaney,,activated from IL
1/29/2001,Clippers,,Earl Boykins,placed on IL with plantar fasciatis in left foot
1/29/2001,Clippers,Corey Maggette,,activated from IL
1/29/2001,Nuggets,,Calbert Cheaney,placed on IL with strained left hamstring
1/29/2001,Sonics,Ruben Wolkowyski,,activated from IL
1/30/2001,Heat,,Todd Fuller,placed on IL with left knee patella tendinitis
1/30/2001,Heat,Don MacLean,,activated from IL
1/30/2001,Pacers,,Sam Perkins,placed on IL with sprained neck
1/30/2001,Pacers,Bruno Sundov,,activated from IL
2/1/2001,Blazers,,Antonio Harvey,placed on IL with sore right knee
2/1/2001,Blazers,Detlef Schrempf,,activated from IL
2/1/2001,Knicks,,Felton Spencer,placed on IL with sore right knee
2/1/2001,Knicks,Lavor Postell,,activated from IL
2/1/2001,Suns,Tom Gugliotta,,activated from IL
2/2/2001,Hawks,Brevin Knight,,activated from IL
2/2/2001,Pistons,,Billy Owens,placed on IL with back spasms
2/2/2001,Pistons,Eric Montross,,activated from IL
2/3/2001,Raptors,,Tyrone Bogues / Muggsy Bogues,placed on IL with sore right knee
2/3/2001,Raptors,Mamadou N'diaye,,activated from IL
2/5/2001,Hawks,Matt Maloney,,activated from IL
2/5/2001,Hornets,Eldridge Recasner,,activated from IL
2/6/2001,Kings,,Jon Barry,placed on IL with broken left hand (out 4-6 weeks)
2/7/2001,Kings,Jabari Smith,,activated from IL
2/8/2001,Hornets,,Lee Nailon,placed on IL with lower back spasms
2/8/2001,Hornets,Tim James,,activated from IL
2/8/2001,Nets,Jamie Feick,,activated from IL
2/8/2001,Spurs,,Shawnelle Scott,placed on IR with tendinitis
2/8/2001,Spurs,Avery Johnson,,activated from IL
2/13/2001,76ers,,Juan Sanchez / Pepe Sanchez,placed on IR with strained back
2/13/2001,76ers,,Theo Ratliff,placed on IL with fractured right wrist
2/13/2001,76ers,Eric Snow,,activated from IL
2/13/2001,76ers,Matt Geiger,,activated from IL
2/13/2001,Hawks,,Hanno Mottola,placed on IL with sprained left elbow
2/13/2001,Spurs,,Malik Rose,placed on IR with sore right hip (DNP)
2/13/2001,Spurs,Ira Newble,,activated from IL
2/14/2001,Hawks,,Matt Maloney,placed on IR with a strained right hand
2/14/2001,Wizards,,Calvin Booth,placed on IR with shooter's elbow
2/14/2001,Wizards,Obinna Ekezie,,activated from IL
2/15/2001,Cavaliers,,Anthony Johnson,placed on IL with left knee patellar tendinitis
2/15/2001,Cavaliers,Wesley Person,,activated from IL
2/15/2001,Celtics,,Randy Brown,placed on IL with hyperextended left knee
2/15/2001,Celtics,Chris Herren,,activated from IL
2/15/2001,Pacers,,Terry Mills,placed on IL with knee injury
2/15/2001,Pacers,Sam Perkins,,activated from IL
2/16/2001,Hornets,,Derrick Coleman,placed on IL with strained left calf
2/16/2001,Rockets,,Jason Collier,placed on IR with quadriceps tendinitis
2/16/2001,Rockets,Kelvin Cato,,activated from IL
2/18/2001,Kings,,Nick Anderson,placed on IL with lower back spasms
